# Name,SeqName,Depth,Core
Blank_S2,Blank_S2,B,B
CB06_blnk_70,CB06_blnk_70,B,B
CB08_blnk_66,CB08_blnk_66,B,B
CB08_blnk_67,CB08_blnk_67,B,B
CB08_blnk_68,CB08_blnk_68,B,B
CB10_blnk_86,CB10_blnk_86,B,B
CB11_blnk_20,CB11_blnk_20,B,B
CB11_blnk_46,CB11_blnk_46,B,B
CB14_blnk_94,CB14_blnk_94,B,B
CB14_blnk_95,CB14_blnk_95,B,B
CB14_blnk_96,CB14_blnk_96,B,B
CB15_blnk_21,CB15_blnk_21,B,B
CB15_blnk_22,CB15_blnk_22,B,B
CB15_blnk_81,CB15_blnk_81,B,B
CB15_blnk_82,CB15_blnk_82,B,B
CB15_blnk_94,CB15_blnk_94,B,B
GS10_PC12_1766,GS10_PC12_71,1766,1
GS10_PC12_1706,GS10_PC12_72,1706,1
GS10_PC12_1646,GS10_PC12_73,1646,1
GS10_PC12_1586,GS10_PC12_74,1586,1
GS10_PC12_1466,GS10_PC12_75,1466,1
GS10_PC12_1436,GS10_PC12_76,1436,1
GS10_PC12_1406,GS10_PC12_77,1406,1
GS10_PC12_1346,GS10_PC12_78,1346,1
GS10_PC12_1256,GS10_PC12_79,1256,1
GS10_PC12_1226,GS10_PC12_80,1226,1
GS10_PC12_1166,GS10_PC12_81,1166,1
GS10_PC12_1106,GS10_PC12_82,1106,1
GS10_PC12_1046,GS10_PC12_83,1046,1
GS10_PC12_986,GS10_PC12_84,986,1
GS10_PC12_926,GS10_PC12_85,926,1
GS10_PC12_806,GS10_PC12_86,806,1
GS10_PC12_746,GS10_PC12_87,746,1
GS10_PC12_686,GS10_PC12_88,686,1
GS10_PC12_626,GS10_PC12_89,626,1
GS10_PC12_566,GS10_PC12_90,566,1
GS10_PC12_506,GS10_PC12_91,506,1
GS10_PC12_446,GS10_PC12_92,446,1
GS10_PC12_386,GS10_PC12_93,386,1
GS10_PC12_326,GS10_PC12_94,326,1
GS10_PC12_266,GS10_PC12_95,266,1
GS10_PC12_206,GS10_PC12_96,206,1
GS13_CC02_5,GS13_CC02_33,5,2
GS13_CC02_10,GS13_CC02_34,10,2
GS13_CC02_80,GS13_CC02_35,80,2
GS13_CC02_50,GS13_CC02_36,50,2
GS13_CC02_130,GS13_CC02_37,130,2
GS13_CC02_180,GS13_CC02_38,180,2
GS13_CC02_230,GS13_CC02_39,230,2
GS13_CC02_280,GS13_CC02_40,280,2
GS13_CC02_330,GS13_CC02_41,330,2
GS13_CC02_380,GS13_CC02_42,380,2
GS13_CC02_480,GS13_CC02_43,480,2
GS13_CC02_630,GS13_CC02_44,630,2
GS13_CC02_780,GS13_CC02_45,780,2
GS13_CC02_930,GS13_CC02_46,930,2
GS13_CC02_1080,GS13_CC02_47,1080,2
GS13_CC02_1230,GS13_CC02_48,1230,2
GS13_CC02_1280,GS13_CC02_49,1280,2
GS13_CC02_1380,GS13_CC02_50,1380,2
GS13_CC02_1480,GS13_CC02_51,1480,2
GS13_CC02_1530,GS13_CC02_52,1530,2
GS13_CC02_1630,GS13_CC02_53,1630,2
GS13_CC02_1680,GS13_CC02_54,1680,2
GS13_CC02_1780,GS13_CC02_55,1780,2
GS13_CC02_1880,GS13_CC02_56,1880,2
GS14_GC02_10,GS14_GC02_57,10,3
GS14_GC02_20,GS14_GC02_58,20,3
GS14_GC02_30,GS14_GC02_59,30,3
GS14_GC02_40,GS14_GC02_60,40,3
GS14_GC02_50,GS14_GC02_61,50,3
GS14_GC02_65,GS14_GC02_62,65,3
GS14_GC02_75,GS14_GC02_63,75,3
GS14_GC02_100,GS14_GC02_64,100,3
GS14_GC02_130,GS14_GC02_65,130,3
GS14_GC02_160,GS14_GC02_66,160,3
GS14_GC02_175,GS14_GC02_67,175,3
GS14_GC02_190,GS14_GC02_68,190,3
GS14_GC02_215,GS14_GC02_69,215,3
GS14_GC04_5,GS14_GC04_34,5,4
GS14_GC04_9,GS14_GC04_35,9,4
GS14_GC04_20,GS14_GC04_36,20,4
GS14_GC04_27,GS14_GC04_37,27,4
GS14_GC04_30,GS14_GC04_38,30,4
GS14_GC04_40,GS14_GC04_39,40,4
GS14_GC04_50,GS14_GC04_40,50,4
GS14_GC04_75,GS14_GC04_41,75,4
GS14_GC04_100,GS14_GC04_42,100,4
GS14_GC04_115,GS14_GC04_43,115,4
GS14_GC04_130,GS14_GC04_44,130,4
GS14_GC04_160,GS14_GC04_45,160,4
GS14_GC04_190,GS14_GC04_46,190,4
GS14_GC04_220,GS14_GC04_47,220,4
GS14_GC04_230,GS14_GC04_48,230,4
GS14_GC08_10,GS14_GC08_49,10,5
GS14_GC08_20,GS14_GC08_50,20,5
GS14_GC08_30,GS14_GC08_51,30,5
GS14_GC08_40,GS14_GC08_52,40,5
GS14_GC08_50,GS14_GC08_53,50,5
GS14_GC08_75,GS14_GC08_54,75,5
GS14_GC08_100,GS14_GC08_55,100,5
GS14_GC08_130,GS14_GC08_56,130,5
GS14_GC08_160,GS14_GC08_57,160,5
GS14_GC08_190,GS14_GC08_58,190,5
GS14_GC08_220,GS14_GC08_59,220,5
GS14_GC08_250,GS14_GC08_60,250,5
GS14_GC08_280,GS14_GC08_61,280,5
GS14_GC08_292,GS14_GC08_62,292,5
GS14_GC08_340,GS14_GC08_63,340,5
GS14_GC09_10,GS14_GC09_64,10,6
GS14_GC09_20,GS14_GC09_65,20,6
GS14_GC09_28,GS14_GC09_66,28,6
GS14_GC09_30,GS14_GC09_67,30,6
GS14_GC09_40,GS14_GC09_68,40,6
GS14_GC09_50,GS14_GC09_69,50,6
GS14_GC09_75,GS14_GC09_70,75,6
GS14_GC09_100,GS14_GC09_71,100,6
GS14_GC09_130,GS14_GC09_72,130,6
GS14_GC09_160,GS14_GC09_73,160,6
GS14_GC09_190,GS14_GC09_74,190,6
GS14_GC12_10,GS14_GC12_75,10,7
GS14_GC12_20,GS14_GC12_76,20,7
GS14_GC12_30,GS14_GC12_77,30,7
GS14_GC12_40,GS14_GC12_78,40,7
GS14_GC12_50,GS14_GC12_79,50,7
GS14_GC12_75,GS14_GC12_80,75,7
GS14_GC12_100,GS14_GC12_81,100,7
GS14_GC12_130,GS14_GC12_82,130,7
GS14_GC12_160,GS14_GC12_83,160,7
GS14_GC12_175,GS14_GC12_84,175,7
GS14_GC12_190,GS14_GC12_85,190,7
GS14_GC12_220,GS14_GC12_86,220,7
GS14_GC12_250,GS14_GC12_87,250,7
GS14_GC12_280,GS14_GC12_88,280,7
GS14_GC12_310,GS14_GC12_89,310,7
GS14_GC12_340,GS14_GC12_90,340,7
GS14_GC12_357,GS14_GC12_91,357,7
GS14_GC14_1,GS14_GC14_04,1,20
GS14_GC14_7,GS14_GC14_05,7,20
NA1,GS14_GC14_06,nan,20
NA3,GS14_GC14_07,nan,20
GS14_GC14_20,GS14_GC14_08,20,20
GS14_GC14_50,GS14_GC14_10,50,20
GS14_GC14_100,GS14_GC14_11,100,20
GS14_GC14_200,GS14_GC14_13,200,20
NA2,GS14_GC14_14,nan,20
GS14_GC14_30,GS14_GC14_19,30,20
GS14_GC14_60,GS14_GC14_20,60,20
GS14_GC14_90,GS14_GC14_21,90,20
GS14_GC14_120,GS14_GC14_22,120,20
GS14_GC14_150,GS14_GC14_23,150,20
GS14_GC14_180,GS14_GC14_24,180,20
GS14_GC14_199,GS14_GC14_25,199,20
GS15_GC01_5,GS15_GC01_01,5,8
GS15_GC01_10,GS15_GC01_02,10,8
GS15_GC01_20,GS15_GC01_03,20,8
GS15_GC01_30,GS15_GC01_04,30,8
GS15_GC01_40,GS15_GC01_05,40,8
GS15_GC01_50,GS15_GC01_06,50,8
GS15_GC01_75,GS15_GC01_07,75,8
GS15_GC01_83,GS15_GC01_08,83,8
GS15_GC01_88,GS15_GC01_09,88,8
GS15_GC01_90,GS15_GC01_10,90,8
GS15_GC01_98,GS15_GC01_11,98,8
GS15_GC01_100,GS15_GC01_12,100,8
GS15_GC01_108,GS15_GC01_13,108,8
GS15_GC01_130,GS15_GC01_14,130,8
GS15_GC01_160,GS15_GC01_15,160,8
GS15_GC01_190,GS15_GC01_16,190,8
GS15_GC01_220,GS15_GC01_17,220,8
GS15_GC01_250,GS15_GC01_18,250,8
GS15_GC01_280,GS15_GC01_19,280,8
GS15_GC01_310,GS15_GC01_20,310,8
GS15_GC01_340,GS15_GC01_21,340,8
GS15_GC01_350,GS15_GC01_22,350,8
GS15_GC01_364,GS15_GC01_23,364,8
GS15_GC01_365,GS15_GC01_24,365,8
GS15_GC01_368,GS15_GC01_25,368,8
GS15_GC01_370,GS15_GC01_26,370,8
GS15_GC01_390,GS15_GC01_27,390,8
GS16_GC04_2,GS16_GC04_67,2,9
GS16_GC04_5,GS16_GC04_68,5,9
GS16_GC04_10,GS16_GC04_69,10,9
GS16_GC04_20,GS16_GC04_70,20,9
GS16_GC04_30,GS16_GC04_71,30,9
GS16_GC04_43,GS16_GC04_72,43,9
GS16_GC04_50,GS16_GC04_73,50,9
GS16_GC04_75,GS16_GC04_74,75,9
GS16_GC04_100,GS16_GC04_75,100,9
GS16_GC04_125,GS16_GC04_76,125,9
GS16_GC04_145,GS16_GC04_77,145,9
GS16_GC04_155,GS16_GC04_78,155,9
GS16_GC04_160,GS16_GC04_79,160,9
GS16_GC04_170,GS16_GC04_80,170,9
GS16_GC04_190,GS16_GC04_81,190,9
GS16_GC04_220,GS16_GC04_82,220,9
GS16_GC04_250,GS16_GC04_83,250,9
GS16_GC04_280,GS16_GC04_84,280,9
GS16_GC04_300,GS16_GC04_85,300,9
GS16_GC05_5,GS16_GC05_01,5,10
GS16_GC05_10,GS16_GC05_02,10,10
GS16_GC05_20,GS16_GC05_03,20,10
GS16_GC05_30,GS16_GC05_04,30,10
GS16_GC05_35,GS16_GC05_05,35,10
GS16_GC05_40,GS16_GC05_06,40,10
GS16_GC05_45,GS16_GC05_07,45,10
GS16_GC05_50,GS16_GC05_08,50,10
GS16_GC05_55,GS16_GC05_09,55,10
GS16_GC05_75,GS16_GC05_10,75,10
GS16_GC05_100,GS16_GC05_11,100,10
GS16_GC05_105,GS16_GC05_12,105,10
GS16_GC05_130,GS16_GC05_13,130,10
GS16_GC05_155,GS16_GC05_14,155,10
GS16_GC05_160,GS16_GC05_15,160,10
GS16_GC05_190,GS16_GC05_16,190,10
GS16_GC05_220,GS16_GC05_17,220,10
GS16_GC05_250,GS16_GC05_18,250,10
GS16_GC05_280,GS16_GC05_19,280,10
GS16_GC05_305,GS16_GC05_20,305,10
GS16_GC05_310,GS16_GC05_21,310,10
GS16_GC05_340,GS16_GC05_22,340,10
GS16_GC05_350,GS16_GC05_23,350,10
GS16_GC06_5,GS16_GC06_24,5,11
GS16_GC06_10,GS16_GC06_25,10,11
GS16_GC06_20,GS16_GC06_26,20,11
GS16_GC06_25,GS16_GC06_27,25,11
GS16_GC06_30,GS16_GC06_28,30,11
GS16_GC06_40,GS16_GC06_29,40,11
GS16_GC06_50,GS16_GC06_30,50,11
GS16_GC06_55,GS16_GC06_31,55,11
GS16_GC06_75,GS16_GC06_32,75,11
GS16_GC06_100,GS16_GC06_34,100,11
GS16_GC06_105,GS16_GC06_33,105,11
GS16_GC06_130,GS16_GC06_47,130,11
GS16_GC06_155,GS16_GC06_48,155,11
GS16_GC06_160,GS16_GC06_49,160,11
GS16_GC06_172,GS16_GC06_50,172,11
GS16_GC06_190,GS16_GC06_51,190,11
GS16_GC06_200,GS16_GC06_38,200,11
GS16_GC06_220,GS16_GC06_39,220,11
GS16_GC06_250,GS16_GC06_52,250,11
GS16_GC06_280,GS16_GC06_53,280,11
GS16_GC06_310,GS16_GC06_54,310,11
GS16_GC06_330,GS16_GC06_55,330,11
GS16_GC06_340,GS16_GC06_56,340,11
GS16_GC06_350,GS16_GC06_57,350,11
GS16_GC07_5,GS16_GC07_57,5,12
GS16_GC07_10,GS16_GC07_58,10,12
GS16_GC07_20,GS16_GC07_59,20,12
GS16_GC07_30,GS16_GC07_60,30,12
GS16_GC07_40,GS16_GC07_61,40,12
GS16_GC07_45,GS16_GC07_62,45,12
GS16_GC07_75,GS16_GC07_63,75,12
GS16_GC07_80,GS16_GC07_64,80,12
GS16_GC07_85,GS16_GC07_67,85,12
GS17_GC02_5,GS17_GC02_23,5,13
GS17_GC02_10,GS17_GC02_24,10,13
GS17_GC02_15,GS17_GC02_25,15,13
GS17_GC02_25,GS17_GC02_26,25,13
GS17_GC02_35,GS17_GC02_27,35,13
GS17_GC02_45,GS17_GC02_28,45,13
GS17_GC02_55,GS17_GC02_29,55,13
GS17_GC02_65,GS17_GC02_30,65,13
GS17_GC02_66,GS17_GC02_31,66,13
GS17_GC02_67,GS17_GC02_32,67,13
GS17_GC02_68,GS17_GC02_33,68,13
GS17_GC02_69,GS17_GC02_34,69,13
GS17_GC02_70,GS17_GC02_35,70,13
GS17_GC02_71,GS17_GC02_36,71,13
GS17_GC02_72,GS17_GC02_37,72,13
GS17_GC02_73,GS17_GC02_38,73,13
GS17_GC02_73.2,GS17_GC02_39,73.2,13
GS17_GC02_73.3,GS17_GC02_40,73.3,13
GS17_GC02_74,GS17_GC02_41,74,13
GS17_GC02_75,GS17_GC02_42,75,13
GS17_GC02_77,GS17_GC02_43,77,13
GS17_GC02_78,GS17_GC02_44,78,13
GS17_GC02_79,GS17_GC02_45,79,13
GS17_GC02_80,GS17_GC02_46,80,13
GS17_GC02_81,GS17_GC02_47,81,13
GS17_GC02_82,GS17_GC02_48,82,13
GS17_GC02_83,GS17_GC02_49,83,13
GS17_GC02_84,GS17_GC02_50,84,13
GS17_GC02_85,GS17_GC02_51,85,13
GS17_GC02_86,GS17_GC02_52,86,13
GS17_GC02_87,GS17_GC02_53,87,13
GS17_GC02_88,GS17_GC02_54,88,13
GS17_GC02_89,GS17_GC02_55,89,13
GS17_GC02_90,GS17_GC02_56,90,13
GS17_GC02_91,GS17_GC02_57,91,13
GS17_GC02_92,GS17_GC02_58,92,13
GS17_GC02_93,GS17_GC02_59,93,13
GS17_GC02_93.2,GS17_GC02_60,93.2,13
GS17_GC02_93.3,GS17_GC02_61,R,R
