"X","ROOT","MAIN.GENOME","DOMAIN","KINGDOM","SUPER.PHYLUM","PHYLUM","CLASS","ORDER","FAMILY","GENUS","SPECIES"
"OTU_1","root"," Main genome"," Archaea"," Archaea (superkingdom)"," TACK"," Thaumarchaeota"," Nitrososphaeria"," Nitrosopumilales"," Nitrosopumilaceae","Unclassified_Nitrosopumilaceae","Unclassified_Nitrosopumilaceae"
"OTU_2","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Proteobacteria superphylum"," Proteobacteria"," Gammaproteobacteria"," Burkholderiales"," Comamonadaceae","Unclassified_Comamonadaceae","Unclassified_Comamonadaceae"
"OTU_3","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Proteobacteria superphylum"," Proteobacteria"," Alphaproteobacteria"," Rhizobiales"," Beijerinckiaceae"," Methylobacterium-Methylorubrum","Unclassified_Methylobacterium-Methylorubrum"
"OTU_4","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Proteobacteria superphylum"," Campylobacterota"," Campylobacteria"," Campylobacterales"," Sulfurovaceae"," Sulfurovum","Unclassified_Sulfurovum"
"OTU_5","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Proteobacteria superphylum"," Proteobacteria"," Alphaproteobacteria"," Defluviicoccales","Unclassified_Defluviicoccales","Unclassified_Defluviicoccales","Unclassified_Defluviicoccales"
"OTU_6","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Terrabacteria"," Actinobacteriota"," Actinobacteria"," Streptomycetales"," Streptomycetaceae"," Streptomyces","Unclassified_Streptomyces"
"OTU_7","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Proteobacteria superphylum"," Proteobacteria"," Gammaproteobacteria"," Methylococcales"," Methylomonadaceae","Unclassified_Methylomonadaceae","Unclassified_Methylomonadaceae"
"OTU_8","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," FCB group"," Bacteroidota"," Bacteroidia"," Flavobacteriales"," Flavobacteriaceae","Unclassified_Flavobacteriaceae","Unclassified_Flavobacteriaceae"
"OTU_9","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Proteobacteria superphylum"," Proteobacteria"," Gammaproteobacteria"," Burkholderiales"," Comamonadaceae","Unclassified_Comamonadaceae","Unclassified_Comamonadaceae"
"OTU_10","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Terrabacteria"," Firmicutes"," Bacilli"," Alicyclobacillales"," Alicyclobacillaceae"," Tumebacillus","Unclassified_Tumebacillus"
"OTU_11","root"," Main genome"," Bacteria"," Bacteria (superkingdom)"," Proteobacteria superphylum"," Proteobacteria"," Alphaproteobacteria"," Defluviicoccales","Unclassified_Defluviicoccales","Unclassified_Defluviicoccales","Unclassified_Defluviicoccales"
