Name,SeqName,Depth,elev,env_broad_scale,env_local_scale,env_medium,geo_loc_name,Lat_Lon
IO1-1_IO1-1_S000,DRR172378,0 m,9250 m,marine hadal zone biome,hadalpelagic zone,marine sediment,Pacific Ocean,33.75 N 142.0045 E
IO1-1_IO1-1_S002,DRR172379,0.02 m,9250 m,marine hadal zone biome,hadalpelagic zone,marine sediment,Pacific Ocean,33.75 N 142.0045 E
IO1-1_IO1-1_S004,DRR172380,0.04 m,9250 m,marine hadal zone biome,hadalpelagic zone,marine sediment,Pacific Ocean,33.75 N 142.0045 E
IO1-1_IO1-1_S006,DRR172381,0.06 m,9250 m,marine hadal zone biome,hadalpelagic zone,marine sediment,Pacific Ocean,33.75 N 142.0045 E
IO1-1_IO1-1_S008,DRR172382,0.08 m,9250 m,marine hadal zone biome,hadalpelagic zone,marine sediment,Pacific Ocean,33.75 N 142.0045 E
IO1-1_IO1-1_S015,DRR172383,0.15 m,9250 m,marine hadal zone biome,hadalpelagic zone,marine sediment,Pacific Ocean,33.75 N 142.0045 E
IO1-1_IO1-1_S025,DRR172384,0.25 m,9250 m,marine hadal zone biome,hadalpelagic zone,marine sediment,Pacific Ocean,33.75 N 142.0045 E
IO1-2_IO1-2_S000,DRR172385,0 m,9242 m,marine hadal zone biome,hadalpelagic zone,marine sediment,Pacific Ocean,33.7488 N 142.0003 E
IO1-2_IO1-2_S002,DRR172386,0.02 m,9242 m,marine hadal zone biome,hadalpelagic zone,marine sediment,Pacific Ocean,33.7488 N 142.0003 E
IO1-2_IO1-2_S004,DRR172387,0.04 m,9242 m,marine hadal zone biome,hadalpelagic zone,marine sediment,Pacific Ocean,33.7488 N 142.0003 E
IO1-2_IO1-2_S006,DRR172388,0.06 m,9242 m,marine hadal zone biome,hadalpelagic zone,marine sediment,Pacific Ocean,33.7488 N 142.0003 E
IO1-2_IO1-2_S008,DRR172389,0.08 m,9242 m,marine hadal zone biome,hadalpelagic zone,marine sediment,Pacific Ocean,33.7488 N 142.0003 E
IO1-2_IO1-2_S009,DRR172390,0.09 m,9242 m,marine hadal zone biome,hadalpelagic zone,marine sediment,Pacific Ocean,33.7488 N 142.0003 E
IO1-2_IO1-2_S010,DRR172391,0.1 m,9242 m,marine hadal zone biome,hadalpelagic zone,marine sediment,Pacific Ocean,33.7488 N 142.0003 E
IO1-2_IO1-2_S020,DRR172392,0.2 m,9242 m,marine hadal zone biome,hadalpelagic zone,marine sediment,Pacific Ocean,33.7488 N 142.0003 E
IO3_IO3_S000,DRR172393,0 m,5257 m,marine abyssal zone biome,marine abyssalpelagic zone,marine sediment,Pacific Ocean,33.7434 N 142.883 E
IO3_IO3_S004,DRR172394,0.04 m,5257 m,marine abyssal zone biome,marine abyssalpelagic zone,marine sediment,Pacific Ocean,33.7434 N 142.883 E
IO3_IO3_S008,DRR172395,0.08 m,5257 m,marine abyssal zone biome,marine abyssalpelagic zone,marine sediment,Pacific Ocean,33.7434 N 142.883 E
IO3_IO3_S010,DRR172396,0.1 m,5257 m,marine abyssal zone biome,marine abyssalpelagic zone,marine sediment,Pacific Ocean,33.7434 N 142.883 E
IO3_IO3_S015,DRR172397,0.15 m,5257 m,marine abyssal zone biome,marine abyssalpelagic zone,marine sediment,Pacific Ocean,33.7434 N 142.883 E
IOA_IOA_S000,DRR172398,0 m,5370 m,marine abyssal zone biome,marine abyssalpelagic zone,marine sediment,Pacific Ocean,30.1508 N 143.5832 E
IOA_IOA_S002,DRR172399,0.02 m,5370 m,marine abyssal zone biome,marine abyssalpelagic zone,marine sediment,Pacific Ocean,30.1508 N 143.5832 E
IOA_IOA_S003,DRR172400,0.03 m,5370 m,marine abyssal zone biome,marine abyssalpelagic zone,marine sediment,Pacific Ocean,30.1508 N 143.5832 E
IOA_IOA_S004,DRR172401,0.04 m,5370 m,marine abyssal zone biome,marine abyssalpelagic zone,marine sediment,Pacific Ocean,30.1508 N 143.5832 E
IOA_IOA_S005,DRR172402,0.05 m,5370 m,marine abyssal zone biome,marine abyssalpelagic zone,marine sediment,Pacific Ocean,30.1508 N 143.5832 E
IOA_IOA_S010,DRR172403,0.1 m,5370 m,marine abyssal zone biome,marine abyssalpelagic zone,marine sediment,Pacific Ocean,30.1508 N 143.5832 E
IOB_IOB_S000,DRR172404,0 m,5474 m,marine abyssal zone biome,marine abyssalpelagic zone,marine sediment,Pacific Ocean,29.2746 N 143.7673 E
IOB_IOB_S013,DRR172405,0.13 m,5474 m,marine abyssal zone biome,marine abyssalpelagic zone,marine sediment,Pacific Ocean,29.2746 N 143.7673 E
IOB_IOB_S033,DRR172406,0.33 m,5474 m,marine abyssal zone biome,marine abyssalpelagic zone,marine sediment,Pacific Ocean,29.2746 N 143.7673 E
IOB_IOB_S053,DRR172407,0.53 m,5474 m,marine abyssal zone biome,marine abyssalpelagic zone,marine sediment,Pacific Ocean,29.2746 N 143.7673 E
IOB_IOB_S073,DRR172408,0.73 m,5474 m,marine abyssal zone biome,marine abyssalpelagic zone,marine sediment,Pacific Ocean,29.2746 N 143.7673 E
