Name,Core,CoreID,Depth,SeqName
SCS_SCS002_1,SCS_SCS002,SCS002,1,SRR11088621
SCS_SCS002_10,SCS_SCS002,SCS002,10,SRR11088620
SCS_SCS002_190,SCS_SCS002,SCS002,190,SRR11088575
SCS_SCS002_2,SCS_SCS002,SCS002,2,SRR11088564
SCS_SCS002_290,SCS_SCS002,SCS002,290,SRR11088553
SCS_SCS002_30,SCS_SCS002,SCS002,30,SRR11088542
SCS_SCS002_390,SCS_SCS002,SCS002,390,SRR11088531
SCS_SCS002_490,SCS_SCS002,SCS002,490,SRR11088520
SCS_SCS002_50,SCS_SCS002,SCS002,50,SRR11088509
SCS_SCS002_590,SCS_SCS002,SCS002,590,SRR11088498
SCS_SCS002_6,SCS_SCS002,SCS002,6,SRR11088619
SCS_SCS002_690,SCS_SCS002,SCS002,690,SRR11088608
SCS_SCS002_790,SCS_SCS002,SCS002,790,SRR11088597
SCS_SCS002_90,SCS_SCS002,SCS002,90,SRR11088586
SCS_SCS003_1,SCS_SCS003,SCS003,1,SRR11088581
SCS_SCS003_10,SCS_SCS003,SCS003,10,SRR11088580
SCS_SCS003_190,SCS_SCS003,SCS003,190,SRR11088579
SCS_SCS003_2,SCS_SCS003,SCS003,2,SRR11088578
SCS_SCS003_290,SCS_SCS003,SCS003,290,SRR11088577
SCS_SCS003_30,SCS_SCS003,SCS003,30,SRR11088576
SCS_SCS003_390,SCS_SCS003,SCS003,390,SRR11088574
SCS_SCS003_490,SCS_SCS003,SCS003,490,SRR11088573
SCS_SCS003_50,SCS_SCS003,SCS003,50,SRR11088572
SCS_SCS003_590,SCS_SCS003,SCS003,590,SRR11088571
SCS_SCS003_6,SCS_SCS003,SCS003,6,SRR11088570
SCS_SCS003_690,SCS_SCS003,SCS003,690,SRR11088569
SCS_SCS003_90,SCS_SCS003,SCS003,90,SRR11088568
SCS_SCS004_1,SCS_SCS004,SCS004,1,SRR11088567
SCS_SCS004_10,SCS_SCS004,SCS004,10,SRR11088566
SCS_SCS004_190,SCS_SCS004,SCS004,190,SRR11088565
SCS_SCS004_2,SCS_SCS004,SCS004,2,SRR11088563
SCS_SCS004_290,SCS_SCS004,SCS004,290,SRR11088562
SCS_SCS004_30,SCS_SCS004,SCS004,30,SRR11088561
SCS_SCS004_390,SCS_SCS004,SCS004,390,SRR11088560
SCS_SCS004_490,SCS_SCS004,SCS004,490,SRR11088559
SCS_SCS004_50,SCS_SCS004,SCS004,50,SRR11088558
SCS_SCS004_590,SCS_SCS004,SCS004,590,SRR11088557
SCS_SCS004_6,SCS_SCS004,SCS004,6,SRR11088556
