Name,SeqRun,Loc,Core,Depth,study_corename
AT_AT2_1,ERR5010294,Atacama,AT2,1,AT2-0-1 cm
AT_AT2_1.1,ERR5010295,Atacama,AT2,1,AT2-0-1 cm 2
AT_AT2_2,ERR5008161,Atacama,AT2,2,AT2-1-2 cm
AT_AT2_3,ERR5007922,Atacama,AT2,3,AT2-1-3 cm
AT_AT2_3,ERR5008162,Atacama,AT2,3,AT2-2-3 cm
AT_AT2_4,ERR5008163,Atacama,AT2,4,AT2-3-4 cm
AT_AT2_5,ERR5007844,Atacama,AT2,5,AT2-3-5 cm
AT_AT2_5,ERR5008164,Atacama,AT2,5,AT2-4-5 cm
AT_AT2_6,ERR5008165,Atacama,AT2,6,AT2-5-6 cm
AT_AT2_8,ERR5008166,Atacama,AT2,8,AT2-7-8 cm
AT_AT2_9,ERR5008167,Atacama,AT2,9,AT2-8-9 cm
AT_AT2_10,ERR5008168,Atacama,AT2,10,AT2-9-10 cm
AT_AT2_12.5,ERR5008170,Atacama,AT2,12.5,AT2-10-12.5 cm
AT_AT2_15,ERR5007976,Atacama,AT2,15,AT2-10-15 cm
AT_AT2_15,ERR5008171,Atacama,AT2,15,AT2-12.5-15 cm
AT_AT2_30,ERR5008033,Atacama,AT2,30,AT2-15-30 cm
AT_AT2_20,ERR5008172,Atacama,AT2,20,AT2-17.5-20 cm
AT_AT2_22.5,ERR5008173,Atacama,AT2,22.5,AT2-20-22.5 cm
AT_AT2_25,ERR5008174,Atacama,AT2,25,AT2-22.5-25 cm
AT_AT2_25.1,ERR5008175,Atacama,AT2,25,AT2-22.5-25 cm 2
AT_AT2_27.5,ERR5008176,Atacama,AT2,27.5,AT2-25-27.5 cm
AT_AT2_32.5,ERR5008177,Atacama,AT2,32.5,AT2-30-32.5 cm
AT_AT2_35,ERR5008178,Atacama,AT2,35,AT2-32.5-35 cm
AT_AT3_1,ERR5010288,Atacama,AT3,1,AT3-0-1 cm
AT_AT3_3,ERR5007928,Atacama,AT3,3,AT3-1-3 cm
AT_AT3_3,ERR5008126,Atacama,AT3,3,AT3-2-3 cm
AT_AT3_4,ERR5008127,Atacama,AT3,4,AT3-3-4 cm
AT_AT3_5,ERR5008128,Atacama,AT3,5,AT3-4-5 cm
AT_AT3_10,ERR5007850,Atacama,AT3,10,AT3-5-10 cm
AT_AT3_6,ERR5008129,Atacama,AT3,6,AT3-5-6 cm
AT_AT3_7,ERR5008130,Atacama,AT3,7,AT3-6-7 cm
AT_AT3_8,ERR5008131,Atacama,AT3,8,AT3-7-8 cm
