Name,SeqName,Depth,Core,qPCR_bac,qPCR_arch,qPCR_proka,qPCR_NA,OxygenDepth,Fe_abundant,Location
Blank_S2,Blank_S2,B,B,NA,NA,NA,TRUE,nan,nan,nan
CB06_blnk_70,CB06_blnk_70,B,B,NA,NA,NA,TRUE,nan,nan,nan
CB08_blnk_66,CB08_blnk_66,B,B,NA,NA,NA,TRUE,nan,nan,nan
CB08_blnk_67,CB08_blnk_67,B,B,NA,NA,NA,TRUE,nan,nan,nan
CB08_blnk_68,CB08_blnk_68,B,B,NA,NA,NA,TRUE,nan,nan,nan
CB10_blnk_86,CB10_blnk_86,B,B,NA,NA,NA,TRUE,nan,nan,nan
CB11_blnk_20,CB11_blnk_20,B,B,NA,NA,NA,TRUE,nan,nan,nan
CB11_blnk_46,CB11_blnk_46,B,B,NA,NA,NA,TRUE,nan,nan,nan
CB14_blnk_94,CB14_blnk_94,B,B,NA,NA,NA,TRUE,nan,nan,nan
CB14_blnk_95,CB14_blnk_95,B,B,NA,NA,NA,TRUE,nan,nan,nan
CB14_blnk_96,CB14_blnk_96,B,B,NA,NA,NA,TRUE,nan,nan,nan
CB15_blnk_21,CB15_blnk_21,B,B,NA,NA,NA,TRUE,nan,nan,nan
CB15_blnk_22,CB15_blnk_22,B,B,NA,NA,NA,TRUE,nan,nan,nan
CB15_blnk_81,CB15_blnk_81,B,B,NA,NA,NA,TRUE,nan,nan,nan
CB15_blnk_82,CB15_blnk_82,B,B,NA,NA,NA,TRUE,nan,nan,nan
CB15_blnk_94,CB15_blnk_94,B,B,NA,NA,NA,TRUE,nan,nan,nan
GS10_PC12_1766,GS10_PC12_71,1766,1,NA,NA,NA,TRUE,nan,nan,AMOR
GS10_PC12_1706,GS10_PC12_72,1706,1,NA,NA,NA,TRUE,nan,nan,AMOR
GS10_PC12_1646,GS10_PC12_73,1646,1,NA,NA,NA,TRUE,nan,nan,AMOR
GS10_PC12_1586,GS10_PC12_74,1586,1,NA,NA,NA,TRUE,nan,nan,AMOR
GS10_PC12_1466,GS10_PC12_75,1466,1,NA,NA,NA,TRUE,nan,nan,AMOR
GS10_PC12_1436,GS10_PC12_76,1436,1,NA,NA,NA,TRUE,nan,nan,AMOR
GS10_PC12_1406,GS10_PC12_77,1406,1,NA,NA,NA,TRUE,nan,nan,AMOR
GS10_PC12_1346,GS10_PC12_78,1346,1,NA,NA,NA,TRUE,nan,nan,AMOR
GS10_PC12_1256,GS10_PC12_79,1256,1,NA,NA,NA,TRUE,nan,nan,AMOR
GS10_PC12_1226,GS10_PC12_80,1226,1,NA,NA,NA,TRUE,nan,nan,AMOR
GS10_PC12_1166,GS10_PC12_81,1166,1,NA,NA,NA,TRUE,nan,nan,AMOR
GS10_PC12_1106,GS10_PC12_82,1106,1,NA,NA,NA,TRUE,nan,nan,AMOR
GS10_PC12_1046,GS10_PC12_83,1046,1,NA,NA,NA,TRUE,nan,nan,AMOR
GS10_PC12_986,GS10_PC12_84,986,1,NA,NA,NA,TRUE,nan,nan,AMOR
GS10_PC12_926,GS10_PC12_85,926,1,NA,NA,NA,TRUE,nan,nan,AMOR
GS10_PC12_806,GS10_PC12_86,806,1,NA,NA,NA,TRUE,nan,nan,AMOR
GS10_PC12_746,GS10_PC12_87,746,1,NA,NA,NA,TRUE,nan,nan,AMOR
GS10_PC12_686,GS10_PC12_88,686,1,NA,NA,NA,TRUE,nan,nan,AMOR
GS10_PC12_626,GS10_PC12_89,626,1,NA,NA,NA,TRUE,nan,nan,AMOR
GS10_PC12_566,GS10_PC12_90,566,1,NA,NA,NA,TRUE,nan,nan,AMOR
GS10_PC12_506,GS10_PC12_91,506,1,NA,NA,NA,TRUE,nan,nan,AMOR
GS10_PC12_446,GS10_PC12_92,446,1,NA,NA,NA,TRUE,nan,nan,AMOR
GS10_PC12_386,GS10_PC12_93,386,1,NA,NA,NA,TRUE,nan,nan,AMOR
GS10_PC12_326,GS10_PC12_94,326,1,NA,NA,NA,TRUE,nan,nan,AMOR
GS10_PC12_266,GS10_PC12_95,266,1,NA,NA,NA,TRUE,nan,nan,AMOR
GS10_PC12_206,GS10_PC12_96,206,1,NA,NA,NA,TRUE,nan,nan,AMOR
GS13_CC02_5,GS13_CC02_33,5,2,15262901576.1821,353222219.789842,15616123795.9719,FALSE,82,No,AMOR
GS13_CC02_10,GS13_CC02_34,10,2,3677048730.96447,95853278.3417936,3772902009.30626,FALSE,82,No,AMOR
GS13_CC02_80,GS13_CC02_35,80,2,685935504.885993,24043597.3127036,709979102.198697,FALSE,82,No,AMOR
GS13_CC02_50,GS13_CC02_36,50,2,929152027.027027,80925159.5345345,1010077186.56156,FALSE,82,No,AMOR
GS13_CC02_130,GS13_CC02_37,130,2,140981539.735099,9750716.57698676,150732256.312086,FALSE,82,No,AMOR
GS13_CC02_180,GS13_CC02_38,180,2,221131125,6943378.125,228074503.125,FALSE,82,No,AMOR
GS13_CC02_230,GS13_CC02_39,230,2,582477265.861027,13667667.8153323,596144933.676359,FALSE,82,No,AMOR
GS13_CC02_280,GS13_CC02_40,280,2,226180405.405405,8906402.02702703,235086807.432432,FALSE,82,No,AMOR
GS13_CC02_330,GS13_CC02_41,330,2,122711165.480427,2082492.42382117,124793657.904248,FALSE,82,No,AMOR
