# OTU,ROOT,MAIN.GENOME,DOMAIN,KINGDOM,SUPER.PHYLUM,PHYLUM,CLASS,ORDER,FAMILY
OTU_1,root,Main genome,Archaea,Archaea (superkingdom),Asgard,Lokiarchaeota,Lokiarchaeia,Unclassified_Lokiarchaeia,Unclassified_Lokiarchaeia
OTU_10,root, Main genome, Bacteria, Bacteria (superkingdom), PVC group (Planctobacteria), Planctomycetota, Brocadiae, Brocadiales, Scalinduaceae
OTU_100,root, Main genome, Bacteria, Bacteria (superkingdom), PVC group (Planctobacteria), Planctomycetota, Phycisphaerae, Phycisphaerales, Phycisphaeraceae
OTU_1000,root, Main genome, Bacteria, Bacteria (superkingdom), PVC group (Planctobacteria), Planctomycetota, Phycisphaerae, MSBL9, SG8-4
OTU_10000,root, Main genome, Bacteria, Bacteria (superkingdom), Proteobacteria superphylum, Bdellovibrionota, Oligoflexia, 0319-6G20,Unclassified_0319-6G20
OTU_10002,root, Main genome, Bacteria, Bacteria (superkingdom), Terrabacteria, Chloroflexi, Dehalococcoidia, SAR202 clade,Unclassified_SAR202 clade
OTU_10004,root, Main genome, Bacteria, Bacteria (superkingdom), Proteobacteria superphylum, SAR324 clade(Marine group B),Unclassified_SAR324 clade(Marine group B),Unclassified_SAR324 clade(Marine group B),Unclassified_SAR324 clade(Marine group B)
OTU_10005,root, Main genome, Bacteria, Bacteria (superkingdom), Proteobacteria superphylum, Proteobacteria, Alphaproteobacteria, AT-s3-44,Unclassified_AT-s3-44
OTU_10006,root, Main genome, Bacteria, Bacteria (superkingdom), Poribacteria superphylum, Poribacteria,Unclassified_Poribacteria,Unclassified_Poribacteria,Unclassified_Poribacteria
OTU_10007,root, Main genome, Bacteria, Bacteria (superkingdom), PVC group (Planctobacteria), Planctomycetota, Phycisphaerae, Phycisphaerales,Unclassified_Phycisphaerales
OTU_10008,root, Main genome, Bacteria, Bacteria (superkingdom), PVC group (Planctobacteria), Planctomycetota, Phycisphaerae, C86,Unclassified_C86
OTU_10009,root, Main genome, Archaea, Archaea (superkingdom), DPANN, Nanoarchaeota, Nanoarchaeia,Unclassified_Nanoarchaeia,Unclassified_Nanoarchaeia
OTU_1001,root, Main genome, Bacteria, Bacteria (superkingdom), Proteobacteria superphylum, Myxococcota, Myxococcia, Myxococcales,Unclassified_Myxococcales
OTU_10010,root, Main genome, Bacteria, Bacteria (superkingdom), Proteobacteria superphylum, Proteobacteria, Gammaproteobacteria, Coxiellales,Unclassified_Coxiellales
OTU_10011,root, Main genome, Bacteria, Bacteria (superkingdom), Proteobacteria superphylum, NB1-j,Unclassified_NB1-j,Unclassified_NB1-j,Unclassified_NB1-j
OTU_10012,root, Main genome, Bacteria, Bacteria (superkingdom), Proteobacteria superphylum, Proteobacteria, Gammaproteobacteria, EPR3968-O8a-Bc78,Unclassified_EPR3968-O8a-Bc78
OTU_10013,root, Main genome, Bacteria, Bacteria (superkingdom), PVC group (Planctobacteria), Latescibacterota, Latescibacteria, Latescibacterales, Latescibacteraceae
OTU_10014,root, Main genome, Bacteria, Bacteria (superkingdom), Proteobacteria superphylum, Proteobacteria, Alphaproteobacteria, Rhodospirillales, Magnetospiraceae
OTU_10016,root, Main genome, Bacteria, Bacteria (superkingdom), Proteobacteria superphylum, Proteobacteria, Gammaproteobacteria,Unclassified_Gammaproteobacteria,Unclassified_Gammaproteobacteria
OTU_10017,root, Main genome, Bacteria, Bacteria (superkingdom), Margulisbacteria superphylum, Margulisbacteria,Unclassified_Margulisbacteria,Unclassified_Margulisbacteria,Unclassified_Margulisbacteria
OTU_10018,root, Main genome, Bacteria, Bacteria (superkingdom), Sumerlaeota superphylum, Sumerlaeota, Sumerlaeia, Sumerlaeales, Sumerlaeaceae
