# Name,SeqName,Depth,Location,CruiseID,CoreID,Oxygen,Oxygen_interpolated,NO3,NO3_interpolated,NO2,NO2_interpolated,Ammonia,Ammonia_interpolated,Fe_interpolated,Mn_interpolated,Sulfate_interpolated
GS10_PC12_1766,GS10_PC12_71,1766,AMOR,GS10,PC12,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
GS10_PC12_1706,GS10_PC12_72,1706,AMOR,GS10,PC12,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
GS10_PC12_1646,GS10_PC12_73,1646,AMOR,GS10,PC12,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
GS10_PC12_1586,GS10_PC12_74,1586,AMOR,GS10,PC12,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
GS10_PC12_1466,GS10_PC12_75,1466,AMOR,GS10,PC12,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
GS10_PC12_1436,GS10_PC12_76,1436,AMOR,GS10,PC12,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
GS10_PC12_1406,GS10_PC12_77,1406,AMOR,GS10,PC12,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
GS10_PC12_1346,GS10_PC12_78,1346,AMOR,GS10,PC12,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
GS10_PC12_1256,GS10_PC12_79,1256,AMOR,GS10,PC12,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
GS10_PC12_1226,GS10_PC12_80,1226,AMOR,GS10,PC12,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
GS10_PC12_1166,GS10_PC12_81,1166,AMOR,GS10,PC12,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
GS10_PC12_1106,GS10_PC12_82,1106,AMOR,GS10,PC12,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
GS10_PC12_1046,GS10_PC12_83,1046,AMOR,GS10,PC12,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
GS10_PC12_986,GS10_PC12_84,986,AMOR,GS10,PC12,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
GS10_PC12_926,GS10_PC12_85,926,AMOR,GS10,PC12,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
GS10_PC12_806,GS10_PC12_86,806,AMOR,GS10,PC12,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
GS10_PC12_746,GS10_PC12_87,746,AMOR,GS10,PC12,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
GS10_PC12_686,GS10_PC12_88,686,AMOR,GS10,PC12,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
GS10_PC12_626,GS10_PC12_89,626,AMOR,GS10,PC12,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
GS10_PC12_566,GS10_PC12_90,566,AMOR,GS10,PC12,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
GS10_PC12_506,GS10_PC12_91,506,AMOR,GS10,PC12,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
GS10_PC12_446,GS10_PC12_92,446,AMOR,GS10,PC12,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
GS10_PC12_386,GS10_PC12_93,386,AMOR,GS10,PC12,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
GS10_PC12_326,GS10_PC12_94,326,AMOR,GS10,PC12,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
GS10_PC12_266,GS10_PC12_95,266,AMOR,GS10,PC12,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
GS10_PC12_206,GS10_PC12_96,206,AMOR,GS10,PC12,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
GS13_CC02_5,GS13_CC02_33,5,AMOR,GS13,CC02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
GS13_CC02_10,GS13_CC02_34,10,AMOR,GS13,CC02,nan,nan,0.02511,0.02511,nan,nan,0,0,0,0,28.86052083
GS13_CC02_80,GS13_CC02_35,80,AMOR,GS13,CC02,nan,nan,0.02145,0.02145,nan,nan,0,0,0,0,28.78104167
GS13_CC02_50,GS13_CC02_36,50,AMOR,GS13,CC02,nan,nan,nan,0.02377,nan,nan,nan,0,0,0,28.5697222233333
GS13_CC02_130,GS13_CC02_37,130,AMOR,GS13,CC02,nan,nan,0.01605,0.01605,nan,nan,0,0,0,0,28.78041667
GS13_CC02_180,GS13_CC02_38,180,AMOR,GS13,CC02,nan,nan,0.00798,0.00798,nan,nan,0,0,0,0,28.5471875
GS13_CC02_230,GS13_CC02_39,230,AMOR,GS13,CC02,nan,nan,0.00213,0.00213,nan,nan,0.00423,0.00423,0,0.047163636,28.48229167
GS13_CC02_280,GS13_CC02_40,280,AMOR,GS13,CC02,nan,nan,0,0,nan,nan,0.009,0.009,0.0143729250604351,0.012238182,28.83604167
GS13_CC02_330,GS13_CC02_41,330,AMOR,GS13,CC02,nan,nan,nan,0,nan,nan,nan,0.013425,0.00718646253021755,0.062237273,28.22791667
GS13_CC02_380,GS13_CC02_42,380,AMOR,GS13,CC02,nan,nan,0,0,nan,nan,0.01785,0.01785,0,0.112236364,27.61979167
GS13_CC02_480,GS13_CC02_43,480,AMOR,GS13,CC02,nan,nan,0,0,nan,nan,0.02988,0.02988,0,0.079963636,28.51083333
GS13_CC02_630,GS13_CC02_44,630,AMOR,GS13,CC02,nan,nan,0,0,nan,nan,0.04875,0.04875,0,0.122727273,28.39916667
GS13_CC02_780,GS13_CC02_45,780,AMOR,GS13,CC02,nan,nan,0,0,nan,nan,0.06603,0.06603,0,0.130381818,28.42833333
