core,ID,latitude,longitude,Location
GS10_PC12,1,73.700317,8.030067,AMOR
GS13_CC02,2,72.811117,3.705633,AMOR
GS14_GC02,3,70.915917,-12.0367,AMOR
GS14_GC04,4,71.284617,-6.561417,AMOR
GS14_GC08,5,71.965883,0.102367,AMOR
GS14_GC09,6,73.700533,7.344317,AMOR
GS14_GC12,7,73.3565,7.565,AMOR
GS15_GC01,8,73.5708,8.508775,AMOR
GS16_GC04,9,72.27935,1.699983,AMOR
GS16_GC05,10,76.912767,7.12485,AMOR
GS16_GC06,11,76.920883,7.575367,AMOR
GS16_GC07,12,76.9202,7.389517,AMOR
GS17_GC02,13,73.5708,8.508775,AMOR
GS17_GC04,14,71.965883,0.102383,AMOR
GS17_GC05,15,70.829267,-5.387417,AMOR
GS19_GC05,16,74.236433,5.494217,AMOR
GS19_GC10,17,73.627933,7.8233,AMOR
GS19_GC25,18,72.367217,15.16805,AMOR
GS21_GC09,19,73.470067,1.968517,AMOR
GS14_GC14,20,73.3565,7.565,AMOR
GS20_GC20,21,60.950533,7.140772,AMOR
GS20_GC21,22,62.277183,5.973188,AMOR
GS21_GC07,23,72.75605,3.827233,AMOR
GS21_GC08,24,72.7554,3.832983,AMOR
KH22_GC02,25,79.611667,3.653933,AMOR
IO1-1_IO1-1,26,33.75,142.0045,NWPO
IO1-2_IO1-2,27,33.7488,142.0003,NWPO
IO3_IO3,28,33.7434,142.883,NWPO
IOA_IOA,29,30.1508,143.5832,NWPO
IOB_IOB,30,29.2746,143.7673,NWPO
IOC_IOC,31,29.15,142.8033,NWPO
IOD_IOD,32,29.1412,142.7983,NWPO
JC_JC,33,36.0724,142.744,NWPO
MA2_MA2,34,11.7463,142.1087,NWPO
MC-1_MC-1,35,11.3721,142.4378,NWPO
MC-2_MC-2,36,11.3699,142.4293,NWPO
MD_MD,37,10.9158,142.5339,NWPO
ME_ME,38,10.2997,142.6003,NWPO
MF_MF,39,10.6499,142.5512,NWPO
KN223_S15,40,33.483333,-54.166667,WNAG
KN223_S11,41,22.783333,-56.518333,WNAG
KN223_S12,42,29.676667,-58.328333,WNAG
IODP336_U1383E,43,22.75,-46.083333,MAR
IODP336_U1384A,44,22.75,-46.083333,MAR
SCS_SCS002,45,19.2,115.3,SCS
SCS_SCS003,46,19.26,114.6,SCS
SCS_SCS004,47,19.1,114.38,SCS
SCS_SCS005,48,18.9,114.25,SCS
SCS_SCS006,49,18.69,114.38125,SCS
SCS_SCS007,50,18.9,114.5,SCS
SCS_SCS008,51,19,115,SCS
SCS_SCS009,52,18.9,115.3,SCS
SCS_SCS010,53,18.7,114.775,SCS
SCS_SCS011,54,18.4,114.5125,SCS
AT_AT2,55,-21.781,-71.208,SPO
AT_AT3,56,-23.049,-71.302,SPO
AT_AT4,57,-23.363,-71.343333,SPO
AT_AT5,58,-23.817,-71.372,SPO
AT_AT6,59,-24.266,-71.423,SPO
AT_AT7,60,-22.937,-71.618,SPO
AT_AT9,61,-20.332833,-70.978333,SPO
AT_AT10,62,-20.319,-71.291,SPO
KT_KT5,63,-31.935667,-177.291333,SPO
KT_KT6,64,-32.148833,-177.3985,SPO
KT_KT7,65,-32.187,-176.561,SPO
