# OTU,value
OTU_1,4064
OTU_1010,3986
OTU_10228,3066
OTU_11724,3010
OTU_10022,2526
OTU_10,2172
OTU_10147,2140
OTU_103,2075
OTU_1000,1600
OTU_10146,1576
OTU_18383,1500
OTU_10550,1400
OTU_10383,1360
OTU_10379,1346
OTU_11980,1331
OTU_1029,1130
OTU_10016,1056
OTU_10054,920
OTU_101,820
OTU_130,800
OTU_10919,750
OTU_11530,720
OTU_10037,700
OTU_10736,614
OTU_27668,610
OTU_10280,600
OTU_30546,560
OTU_1423,545
OTU_10141,500
OTU_10260,500
OTU_19881,450
OTU_10127,430
OTU_10007,420
OTU_10512,420
OTU_10100,407
OTU_10246,400
OTU_10928,374
OTU_111877,367
OTU_10399,320
OTU_10841,300
OTU_11001,300
OTU_11852,300
OTU_10091,290
OTU_1053,278
OTU_10071,276
OTU_10332,275
OTU_17896,275
OTU_11143,272
OTU_10859,260
OTU_10021,220
OTU_13321,220
OTU_10300,210
OTU_13446,210
OTU_13897,210
OTU_10181,200
OTU_110195,200
OTU_12035,195
OTU_3628,190
OTU_19724,180
OTU_10038,173
OTU_1034,170
OTU_10162,170
OTU_10063,165
OTU_17842,160
OTU_1017,160
OTU_10456,160
OTU_10034,160
OTU_10641,154
OTU_10664,152
OTU_11009,136
OTU_10876,116
OTU_10827,100
OTU_10103,100
OTU_1067,98
OTU_10545,98
OTU_10014,96
OTU_10424,92
OTU_10180,92
OTU_11572,92
OTU_10360,88
OTU_10756,80
OTU_10605,80
OTU_10043,80
OTU_10944,74
OTU_10965,72
OTU_10334,72
OTU_11602,68
OTU_10412,66
OTU_11,66
OTU_10275,60
OTU_13545,60
OTU_10977,60
OTU_10221,60
OTU_11045,56
OTU_18390,48
OTU_10353,48
OTU_10235,48
OTU_12747,44
OTU_11032,44
OTU_19248,40
OTU_1084,40
OTU_10950,40
OTU_1143,40
OTU_10386,40
OTU_10730,40
OTU_107275,40
OTU_12316,40
OTU_12433,40
OTU_10637,40
OTU_1831,40
OTU_10319,40
OTU_10102,40
OTU_1045,40
OTU_10202,40
OTU_18786,40
OTU_10999,38
OTU_10366,38
OTU_11301,38
OTU_24024,38
OTU_10538,34
OTU_10665,34
OTU_10165,32
OTU_10842,32
OTU_10114,32
OTU_10046,30
OTU_11653,30
OTU_10960,30
OTU_11156,30
OTU_10328,30
OTU_11435,28
OTU_1079,28
OTU_10004,28
OTU_10066,26
OTU_10359,26
OTU_10561,26
OTU_12102,24
OTU_11701,22
OTU_1378,22
OTU_13710,20
OTU_1214,20
OTU_12609,20
OTU_12454,20
OTU_27861,20
OTU_12349,20
OTU_10011,20
OTU_20145,20
OTU_1213,20
OTU_22138,20
OTU_23862,20
OTU_19557,20
OTU_24090,20
OTU_25542,20
OTU_10032,20
OTU_26668,20
OTU_1001,20
OTU_12655,20
OTU_27906,20
OTU_12736,20
OTU_13651,20
OTU_13775,20
OTU_13463,20
OTU_27704,20
OTU_418815,20
OTU_3444,20
OTU_10033,20
OTU_13425,20
OTU_14386,20
OTU_14652,20
OTU_14748,20
OTU_14763,20
OTU_13301,20
OTU_12847,20
OTU_431247,20
OTU_15903,20
OTU_17532,20
OTU_18203,20
OTU_10176,20
OTU_11051,20
OTU_6697,20
OTU_10551,20
OTU_10989,20
OTU_10142,20
OTU_10118,20
OTU_10055,20
OTU_10694,20
OTU_11548,20
OTU_10593,20
OTU_105160,20
OTU_10316,20
OTU_10377,20
OTU_10511,20
OTU_1012,20
OTU_105056,20
OTU_10488,20
OTU_10429,20
OTU_10411,20
OTU_11011,20
OTU_10941,20
OTU_11528,20
OTU_1016,20
OTU_11224,20
OTU_11227,20
OTU_11201,20
OTU_10284,20
OTU_10278,20
OTU_113386,20
OTU_111531,20
OTU_10160,20
OTU_110190,20
OTU_10991,18
OTU_110031,18
OTU_1204,18
OTU_13012,18
OTU_10117,18
OTU_12581,18
OTU_1050,17
OTU_12724,16
OTU_24081,16
OTU_10814,16
OTU_10040,16
OTU_1033,16
OTU_13150,16
OTU_17816,16
OTU_10396,14
OTU_10562,14
OTU_10620,14
OTU_10087,14
OTU_13055,14
OTU_10068,12
OTU_114898,12
OTU_12920,12
OTU_14942,10
OTU_10557,10
OTU_10341,10
OTU_109072,10
OTU_19393,10
OTU_10400,10
OTU_1031,10
OTU_10342,8
OTU_11601,8
OTU_10018,8
OTU_12968,8
OTU_12503,8
OTU_112461,8
OTU_15187,6
OTU_10959,6
OTU_110686,6
OTU_10507,4
OTU_10556,4
OTU_13243,4
OTU_10329,4
OTU_10029,4
OTU_11310,4
OTU_13838,2
OTU_10175,2
OTU_14483,2
