# OTU,value
OTU_1010,1993
OTU_1,1939
OTU_10228,1641
OTU_11724,1555
OTU_10,1249
OTU_10022,1171
OTU_10147,1120
OTU_103,915
OTU_10550,800
OTU_18383,800
OTU_10383,750
OTU_10146,703
OTU_1000,700
OTU_1029,610
OTU_11980,596
OTU_10379,576
OTU_10016,563
OTU_10054,515
OTU_10919,410
OTU_101,410
OTU_10037,400
OTU_27668,310
OTU_1423,290
OTU_10260,270
OTU_10246,240
OTU_30546,230
OTU_10736,226
OTU_11530,220
OTU_10127,215
OTU_10007,210
OTU_10399,210
OTU_10512,210
OTU_19881,200
OTU_10841,200
OTU_10280,200
OTU_11001,200
OTU_10141,200
OTU_130,200
OTU_17896,165
OTU_10928,165
OTU_111877,165
OTU_10100,160
OTU_10859,140
OTU_10071,128
OTU_11143,126
OTU_1053,124
OTU_10091,121
OTU_110195,120
OTU_10038,114
OTU_10332,112
OTU_13321,110
OTU_10021,110
OTU_10300,105
OTU_13446,100
OTU_10181,100
OTU_11852,100
OTU_1017,93
OTU_19724,90
OTU_3628,90
OTU_17842,80
OTU_10034,80
OTU_10641,77
OTU_11009,68
OTU_12035,65
OTU_10545,62
OTU_10876,58
OTU_10664,56
OTU_10063,55
OTU_10162,50
OTU_13897,50
OTU_1034,50
OTU_10014,48
OTU_10424,41
OTU_10043,40
OTU_10756,40
OTU_10827,40
OTU_10456,40
OTU_10605,40
OTU_1067,39
OTU_11572,36
OTU_10360,36
OTU_10180,34
OTU_11602,34
OTU_11,33
OTU_10412,33
OTU_1084,30
OTU_10977,30
OTU_13545,30
OTU_1045,30
OTU_10275,30
OTU_10221,30
OTU_11045,28
OTU_10965,27
OTU_10334,26
OTU_10235,24
OTU_12747,22
OTU_11032,22
OTU_10944,22
OTU_13710,20
OTU_10202,20
OTU_12433,20
OTU_10730,20
OTU_107275,20
OTU_10103,20
OTU_18786,20
OTU_12316,20
OTU_10950,20
OTU_10637,20
OTU_10319,20
OTU_1143,20
OTU_10386,20
OTU_12609,20
OTU_10102,20
OTU_11301,19
OTU_10366,19
OTU_10999,19
OTU_24024,19
OTU_12581,18
OTU_18390,18
OTU_10353,18
OTU_1831,18
OTU_10665,17
OTU_10538,17
OTU_10842,16
OTU_10165,16
OTU_12724,16
OTU_10114,16
OTU_10046,15
OTU_11156,15
OTU_10960,15
OTU_10004,14
OTU_1079,14
OTU_11435,14
OTU_10359,13
OTU_10066,13
OTU_10561,13
OTU_1378,12
OTU_10068,12
OTU_12102,12
OTU_11701,11
OTU_13463,10
OTU_13651,10
OTU_12454,10
OTU_24090,10
OTU_25542,10
OTU_12349,10
OTU_26668,10
OTU_1001,10
OTU_27704,10
OTU_1214,10
OTU_1213,10
OTU_27861,10
OTU_27906,10
OTU_3444,10
OTU_418815,10
OTU_431247,10
OTU_10032,10
OTU_23862,10
OTU_22138,10
OTU_20145,10
OTU_12847,10
OTU_13775,10
OTU_14652,10
OTU_13425,10
OTU_14748,10
OTU_14763,10
OTU_13301,10
OTU_15903,10
OTU_10011,10
OTU_17532,10
OTU_18203,10
OTU_12736,10
OTU_19248,10
OTU_19557,10
OTU_12655,10
OTU_14386,10
OTU_1016,10
OTU_10033,10
OTU_11011,10
OTU_10941,10
OTU_10055,10
OTU_10694,10
OTU_11653,10
OTU_10557,10
OTU_10551,10
OTU_105160,10
OTU_10511,10
OTU_105056,10
OTU_10488,10
OTU_10429,10
OTU_10411,10
OTU_10377,10
OTU_10328,10
OTU_10316,10
OTU_10284,10
OTU_10278,10
OTU_10118,10
OTU_1012,10
OTU_10142,10
OTU_10176,10
OTU_10989,10
OTU_10593,10
OTU_111531,10
OTU_110190,10
OTU_11548,10
OTU_11528,10
OTU_113386,10
OTU_11227,10
OTU_11224,10
OTU_11201,10
OTU_11051,10
OTU_10160,10
OTU_6697,10
OTU_10991,9
OTU_1204,9
OTU_10117,9
OTU_110031,9
OTU_13012,9
OTU_10814,8
OTU_10040,8
OTU_24081,8
OTU_112461,8
OTU_10341,8
OTU_17816,8
OTU_13150,8
OTU_1033,8
OTU_10562,7
OTU_10087,7
OTU_13055,7
OTU_10396,7
OTU_10620,7
OTU_114898,6
OTU_1050,6
OTU_12920,6
OTU_10400,5
OTU_109072,5
OTU_14942,5
OTU_1031,5
OTU_19393,5
OTU_12503,4
OTU_12968,4
OTU_10018,4
OTU_10342,4
OTU_10556,4
OTU_11601,4
OTU_10959,3
OTU_110686,3
OTU_15187,3
OTU_13243,2
OTU_11310,2
OTU_10329,2
OTU_10507,2
OTU_10029,2
OTU_14483,1
OTU_10175,1
OTU_13838,1
