# OTU,value
OTU_1,2142
OTU_1010,1993
OTU_11724,1455
OTU_10228,1425
OTU_10022,1355
OTU_103,1160
OTU_10147,1020
OTU_10,923
OTU_1000,900
OTU_10146,873
OTU_10379,770
OTU_11980,735
OTU_18383,700
OTU_10383,610
OTU_130,600
OTU_10550,600
OTU_10016,543
OTU_1029,520
OTU_11530,510
OTU_101,410
OTU_10054,405
OTU_10280,400
OTU_10736,388
OTU_10919,380
OTU_30546,330
OTU_27668,330
OTU_10037,300
OTU_10141,300
OTU_10100,256
OTU_1423,255
OTU_19881,250
OTU_10260,240
OTU_10127,215
OTU_10512,210
OTU_10007,210
OTU_111877,210
OTU_10928,209
OTU_11852,200
OTU_13897,180
OTU_10332,173
OTU_10091,169
OTU_10246,160
OTU_11143,156
OTU_1053,154
OTU_10071,148
OTU_10456,140
OTU_12035,130
OTU_10859,130
OTU_10162,130
OTU_13321,120
OTU_1034,120
OTU_13446,110
OTU_10021,110
OTU_10063,110
OTU_17896,110
OTU_10399,110
OTU_10664,106
OTU_10300,105
OTU_10181,100
OTU_11001,100
OTU_3628,100
OTU_10841,100
OTU_19724,90
OTU_10103,80
OTU_17842,80
OTU_10034,80
OTU_110195,80
OTU_10014,78
OTU_10641,77
OTU_11009,68
OTU_1017,67
OTU_10605,60
OTU_10827,60
OTU_1067,59
OTU_10038,59
OTU_10876,58
OTU_10180,58
OTU_11572,56
OTU_10360,52
OTU_10424,52
OTU_10944,52
OTU_10965,48
OTU_10334,46
OTU_19248,40
OTU_10756,40
OTU_10043,40
OTU_10545,36
OTU_11602,34
OTU_10412,33
OTU_11,33
OTU_18390,32
OTU_13545,30
OTU_10275,30
OTU_10977,30
OTU_10221,30
OTU_10319,30
OTU_10353,30
OTU_10202,30
OTU_11045,28
OTU_10235,24
OTU_12747,22
OTU_11032,22
OTU_1831,22
OTU_10950,20
OTU_10637,20
OTU_10730,20
OTU_107275,20
OTU_18203,20
OTU_1045,20
OTU_10102,20
OTU_10386,20
OTU_12316,20
OTU_10328,20
OTU_11653,20
OTU_12433,20
OTU_18786,20
OTU_23862,20
OTU_12609,20
OTU_10411,20
OTU_1143,20
OTU_10511,20
OTU_1084,20
OTU_24024,19
OTU_10366,19
OTU_10999,19
OTU_11301,19
OTU_10538,17
OTU_10665,17
OTU_10842,16
OTU_10114,16
OTU_10165,16
OTU_10960,15
OTU_10046,15
OTU_11156,15
OTU_11435,14
OTU_10004,14
OTU_10087,14
OTU_1079,14
OTU_10561,13
OTU_10066,13
OTU_10359,13
OTU_114898,12
OTU_12102,12
OTU_11701,11
OTU_1378,11
OTU_1050,11
OTU_12454,10
OTU_12847,10
OTU_12349,10
OTU_12736,10
OTU_13301,10
OTU_1214,10
OTU_13425,10
OTU_12655,10
OTU_11051,10
OTU_13463,10
OTU_13651,10
OTU_431247,10
OTU_418815,10
OTU_3444,10
OTU_27906,10
OTU_27861,10
OTU_27704,10
OTU_1001,10
OTU_26668,10
OTU_25542,10
OTU_24090,10
OTU_22138,10
OTU_20145,10
OTU_10011,10
OTU_19557,10
OTU_19393,10
OTU_17532,10
OTU_15903,10
OTU_14763,10
OTU_14748,10
OTU_14652,10
OTU_14386,10
OTU_13775,10
OTU_13710,10
OTU_1213,10
OTU_6697,10
OTU_11011,10
OTU_11224,10
OTU_111531,10
OTU_10316,10
OTU_10176,10
OTU_110190,10
OTU_10429,10
OTU_10989,10
OTU_1012,10
OTU_10941,10
OTU_10055,10
OTU_10032,10
OTU_10377,10
OTU_10118,10
OTU_10694,10
OTU_10593,10
OTU_10551,10
OTU_105160,10
OTU_105056,10
OTU_11201,10
OTU_10488,10
OTU_113386,10
OTU_10160,10
OTU_10033,10
OTU_10278,10
OTU_10142,10
OTU_1016,10
OTU_11548,10
OTU_11227,10
OTU_11528,10
OTU_10284,10
OTU_10117,9
OTU_12581,9
OTU_1204,9
OTU_13012,9
OTU_10991,9
OTU_110031,9
OTU_10040,8
OTU_24081,8
OTU_17816,8
OTU_12503,8
OTU_1033,8
OTU_10814,8
OTU_13150,8
OTU_12724,8
OTU_13055,7
OTU_10562,7
OTU_10396,7
OTU_10620,7
OTU_10068,6
OTU_12920,6
OTU_10341,5
OTU_10400,5
OTU_1031,5
OTU_109072,5
OTU_10557,5
OTU_14942,5
OTU_11601,4
OTU_10342,4
OTU_10018,4
OTU_12968,4
OTU_112461,4
OTU_15187,3
OTU_10959,3
OTU_110686,3
OTU_10507,2
OTU_11310,2
OTU_10556,2
OTU_10329,2
OTU_13243,2
OTU_10029,2
OTU_13838,1
OTU_14483,1
OTU_10175,1
