# OTU,value
OTU_1010,5485
OTU_10228,4915
OTU_10022,4360
OTU_1,4080
OTU_11724,3730
OTU_10,2732
OTU_103,2725
OTU_10379,2440
OTU_11980,2380
OTU_10147,2160
OTU_10146,2078
OTU_10054,1640
OTU_1000,1600
OTU_18383,1552
OTU_10550,1400
OTU_10383,1360
OTU_10016,1303
OTU_101,1205
OTU_1029,1130
OTU_130,977
OTU_12834,935
OTU_10919,841
OTU_10736,820
OTU_11530,720
OTU_10037,714
OTU_27668,700
OTU_10100,680
OTU_1423,680
OTU_10928,670
OTU_111877,660
OTU_10091,600
OTU_10280,600
OTU_30546,560
OTU_10260,548
OTU_17896,500
OTU_10141,500
OTU_10332,470
OTU_10127,460
OTU_19881,450
OTU_10512,420
OTU_10007,420
OTU_11602,410
OTU_10021,400
OTU_10246,400
OTU_11143,380
OTU_12721,357
OTU_12035,330
OTU_10399,320
OTU_10038,320
OTU_1053,310
OTU_11001,302
OTU_11852,300
OTU_10063,300
OTU_10841,300
OTU_10071,292
OTU_1200,288
OTU_10859,260
OTU_11009,260
OTU_1017,240
OTU_13321,232
OTU_10300,220
OTU_13897,218
OTU_13446,210
OTU_110195,202
OTU_10876,200
OTU_10181,200
OTU_18390,192
OTU_3628,190
OTU_1034,188
OTU_19724,180
OTU_24235,177
OTU_10162,170
OTU_10009,165
OTU_10664,160
OTU_10641,160
OTU_10965,160
OTU_10456,160
OTU_10034,160
OTU_17842,160
OTU_10353,160
OTU_10180,140
OTU_10545,140
OTU_10360,130
OTU_10827,120
OTU_11156,120
OTU_10842,116
OTU_10424,110
OTU_10944,106
OTU_10043,106
OTU_10014,100
OTU_1067,100
OTU_11572,100
OTU_10103,100
OTU_11032,100
OTU_418815,84
OTU_10605,80
OTU_1050,80
OTU_10235,80
OTU_10756,80
OTU_10412,80
OTU_11,80
OTU_10334,80
OTU_10057,78
OTU_1831,70
OTU_1031,63
OTU_11301,60
OTU_13545,60
OTU_10275,60
OTU_10977,60
OTU_10004,60
OTU_10221,60
OTU_12747,60
OTU_11045,60
OTU_15262,54
OTU_10319,50
OTU_10593,48
OTU_10960,46
OTU_10342,44
OTU_10002,42
OTU_1143,40
OTU_10950,40
OTU_12433,40
OTU_12316,40
OTU_109072,40
OTU_109085,40
OTU_10202,40
OTU_19248,40
OTU_18786,40
OTU_10165,40
OTU_12102,40
OTU_10102,40
OTU_11701,40
OTU_10999,40
OTU_10114,40
OTU_10046,40
OTU_11435,40
OTU_1378,40
OTU_10366,40
OTU_1084,40
OTU_10665,40
OTU_10359,40
OTU_10386,40
OTU_10396,40
OTU_10341,40
OTU_1045,40
OTU_1033,40
OTU_10538,40
OTU_10561,40
OTU_10637,40
OTU_10066,40
OTU_107275,40
OTU_24024,40
OTU_1079,40
OTU_10730,40
OTU_14652,38
OTU_25542,38
OTU_1213,34
OTU_10029,34
OTU_1535,32
OTU_10411,32
OTU_11653,30
OTU_10328,30
OTU_11227,28
OTU_10507,28
OTU_19393,28
OTU_1016,24
OTU_10329,24
OTU_14748,22
OTU_23862,20
OTU_3444,20
OTU_27906,20
OTU_13301,20
OTU_10055,20
OTU_19557,20
OTU_12655,20
OTU_13243,20
OTU_13150,20
OTU_13425,20
OTU_13012,20
OTU_12968,20
OTU_12920,20
OTU_12847,20
OTU_22138,20
OTU_431247,20
OTU_10018,20
OTU_12736,20
OTU_12724,20
OTU_13055,20
OTU_13710,20
OTU_27861,20
OTU_13463,20
OTU_24081,20
OTU_18203,20
OTU_10032,20
OTU_10033,20
OTU_24090,20
OTU_10011,20
OTU_17816,20
OTU_17532,20
OTU_15903,20
OTU_26668,20
OTU_15187,20
OTU_14942,20
OTU_14763,20
OTU_14483,20
OTU_14386,20
OTU_10040,20
OTU_20145,20
OTU_13838,20
OTU_13775,20
OTU_13651,20
OTU_27704,20
OTU_1001,20
OTU_11601,20
OTU_10160,20
OTU_10142,20
OTU_11051,20
OTU_110190,20
OTU_11011,20
OTU_12609,20
OTU_110031,20
OTU_10991,20
OTU_10989,20
OTU_10175,20
OTU_10959,20
OTU_10176,20
OTU_10941,20
OTU_10278,20
OTU_10814,20
OTU_10284,20
OTU_10694,20
OTU_10316,20
OTU_10620,20
OTU_10562,20
OTU_10557,20
OTU_10556,20
OTU_10551,20
OTU_105160,20
OTU_10511,20
OTU_105056,20
OTU_10488,20
OTU_10429,20
OTU_10400,20
OTU_110686,20
OTU_6697,20
OTU_111531,20
OTU_1012,20
OTU_10068,20
OTU_1204,20
OTU_1214,20
OTU_10117,20
OTU_11528,20
OTU_114898,20
OTU_10377,20
OTU_12349,20
OTU_12454,20
OTU_113386,20
OTU_11310,20
OTU_112461,20
OTU_11224,20
OTU_12503,20
OTU_11201,20
OTU_10118,20
OTU_12581,20
OTU_10087,20
OTU_11548,20
OTU_20461,18
OTU_10019,18
OTU_12201,16
OTU_202669,16
OTU_541952,16
OTU_13322,16
OTU_12477,14
OTU_12684,14
OTU_10352,12
OTU_110550,12
OTU_11015,10
OTU_12330,10
OTU_21665,10
OTU_112637,10
OTU_10259,8
OTU_10188,8
OTU_203990,6
OTU_109,6
OTU_1096,6
OTU_28408,6
OTU_301101,6
OTU_14862,4
OTU_10104,4
OTU_11425,4
OTU_10982,4
OTU_10505,2
OTU_10056,2
