# OTU,value
OTU_1010,2770
OTU_10228,2500
OTU_10022,2050
OTU_11724,1960
OTU_1,1950
OTU_10,1517
OTU_103,1290
OTU_10147,1130
OTU_11980,1060
OTU_10379,1040
OTU_10054,920
OTU_10146,909
OTU_18383,826
OTU_10550,800
OTU_10383,750
OTU_10016,723
OTU_1000,700
OTU_101,630
OTU_1029,610
OTU_10919,449
OTU_12834,440
OTU_10037,407
OTU_1423,380
OTU_27668,355
OTU_10736,310
OTU_10260,302
OTU_10928,300
OTU_17896,300
OTU_111877,300
OTU_130,281
OTU_10100,270
OTU_11602,260
OTU_10091,250
OTU_10246,240
OTU_10127,240
OTU_30546,230
OTU_11530,220
OTU_10007,210
OTU_10038,210
OTU_10399,210
OTU_10512,210
OTU_11001,201
OTU_10841,200
OTU_10141,200
OTU_10021,200
OTU_19881,200
OTU_10280,200
OTU_10332,190
OTU_11143,180
OTU_12721,165
OTU_10071,142
OTU_1017,140
OTU_10859,140
OTU_1053,140
OTU_11009,130
OTU_110195,121
OTU_13321,116
OTU_12035,110
OTU_10300,110
OTU_1200,108
OTU_24235,108
OTU_10063,100
OTU_13446,100
OTU_11852,100
OTU_10181,100
OTU_10876,100
OTU_3628,90
OTU_19724,90
OTU_10545,90
OTU_10641,80
OTU_10034,80
OTU_17842,80
OTU_18390,76
OTU_10664,60
OTU_11156,60
OTU_10965,60
OTU_10353,60
OTU_1034,59
OTU_13897,58
OTU_10842,58
OTU_10009,55
OTU_10043,53
OTU_10360,50
OTU_10424,50
OTU_10827,50
OTU_11032,50
OTU_10180,50
OTU_10162,50
OTU_10057,50
OTU_10014,50
OTU_418815,42
OTU_1067,40
OTU_10756,40
OTU_11,40
OTU_10235,40
OTU_10605,40
OTU_10456,40
OTU_10412,40
OTU_11572,40
OTU_10944,38
OTU_1031,37
OTU_1045,30
OTU_13545,30
OTU_10977,30
OTU_10319,30
OTU_10275,30
OTU_12747,30
OTU_1084,30
OTU_10334,30
OTU_10221,30
OTU_1831,30
OTU_10341,30
OTU_11045,30
OTU_1378,30
OTU_11301,30
OTU_1050,30
OTU_10004,30
OTU_10002,28
OTU_15262,27
OTU_10342,26
OTU_10593,24
OTU_1535,24
OTU_10960,23
OTU_11701,20
OTU_12433,20
OTU_10103,20
OTU_18786,20
OTU_10999,20
OTU_10102,20
OTU_12609,20
OTU_12581,20
OTU_10202,20
OTU_12316,20
OTU_10066,20
OTU_10046,20
OTU_12102,20
OTU_10165,20
OTU_112461,20
OTU_10068,20
OTU_1143,20
OTU_11435,20
OTU_10114,20
OTU_13710,20
OTU_10950,20
OTU_12724,20
OTU_10561,20
OTU_1033,20
OTU_10538,20
OTU_10359,20
OTU_10637,20
OTU_10665,20
OTU_10557,20
OTU_107275,20
OTU_10730,20
OTU_10396,20
OTU_10386,20
OTU_1079,20
OTU_10366,20
OTU_109085,20
OTU_24024,20
OTU_109072,20
OTU_10556,20
OTU_25542,19
OTU_14652,19
OTU_1213,17
OTU_10029,17
OTU_10411,16
OTU_202669,16
OTU_19393,14
OTU_10507,14
OTU_11227,14
OTU_10329,14
OTU_1016,12
OTU_14748,11
OTU_13301,10
OTU_13463,10
OTU_13425,10
OTU_27861,10
OTU_22138,10
OTU_13243,10
OTU_13150,10
OTU_13055,10
OTU_13012,10
OTU_1001,10
OTU_10087,10
OTU_12968,10
OTU_12920,10
OTU_3444,10
OTU_12847,10
OTU_431247,10
OTU_27906,10
OTU_14483,10
OTU_13651,10
OTU_17816,10
OTU_23862,10
OTU_20145,10
OTU_19557,10
OTU_19248,10
OTU_24081,10
OTU_10033,10
OTU_24090,10
OTU_18203,10
OTU_10040,10
OTU_10018,10
OTU_17532,10
OTU_13775,10
OTU_15903,10
OTU_15187,10
OTU_14942,10
OTU_14763,10
OTU_14386,10
OTU_26668,10
OTU_10011,10
OTU_10055,10
OTU_13838,10
OTU_27704,10
OTU_10032,10
OTU_10117,10
OTU_12736,10
OTU_10941,10
OTU_111531,10
OTU_10176,10
OTU_110686,10
OTU_11051,10
OTU_110190,10
OTU_11011,10
OTU_110031,10
OTU_10991,10
OTU_10989,10
OTU_10278,10
OTU_10959,10
OTU_10284,10
OTU_10316,10
OTU_11201,10
OTU_10328,10
OTU_10814,10
OTU_10694,10
OTU_10620,10
OTU_10377,10
OTU_10562,10
OTU_10551,10
OTU_10400,10
OTU_105160,10
OTU_10511,10
OTU_105056,10
OTU_10488,10
OTU_10175,10
OTU_6697,10
OTU_11601,10
OTU_10160,10
OTU_1204,10
OTU_10429,10
OTU_10118,10
OTU_1012,10
OTU_11224,10
OTU_12349,10
OTU_11653,10
OTU_10142,10
OTU_12454,10
OTU_11548,10
OTU_1214,10
OTU_12503,10
OTU_114898,10
OTU_11310,10
OTU_113386,10
OTU_12655,10
OTU_11528,10
OTU_20461,9
OTU_10019,9
OTU_541952,8
OTU_12201,8
OTU_13322,8
OTU_12684,7
OTU_12477,7
OTU_110550,6
OTU_109,6
OTU_10352,6
OTU_11015,5
OTU_12330,5
OTU_112637,5
OTU_21665,5
OTU_10188,4
OTU_10259,4
OTU_203990,3
OTU_28408,3
OTU_301101,3
OTU_1096,3
OTU_10104,2
OTU_10982,2
OTU_11425,2
OTU_14862,2
OTU_10505,1
OTU_10056,1
