# OTU,value
OTU_1010,2715
OTU_10228,2415
OTU_10022,2310
OTU_1,2150
OTU_11724,1770
OTU_103,1435
OTU_10379,1400
OTU_11980,1320
OTU_10,1225
OTU_10146,1169
OTU_10147,1030
OTU_1000,900
OTU_18383,726
OTU_10054,720
OTU_130,711
OTU_10016,639
OTU_10383,610
OTU_10550,600
OTU_101,575
OTU_1029,520
OTU_10736,510
OTU_11530,510
OTU_12834,495
OTU_10919,434
OTU_10100,420
OTU_10280,400
OTU_27668,375
OTU_10928,370
OTU_111877,370
OTU_10091,350
OTU_30546,330
OTU_10037,307
OTU_10141,300
OTU_1423,300
OTU_10332,290
OTU_10260,256
OTU_19881,250
OTU_10127,230
OTU_12035,220
OTU_10512,210
OTU_10007,210
OTU_11143,210
OTU_12721,204
OTU_10021,200
OTU_11852,200
OTU_17896,200
OTU_10063,200
OTU_13897,184
OTU_1200,180
OTU_1053,170
OTU_10246,160
OTU_10071,156
OTU_11602,150
OTU_10456,140
OTU_10162,130
OTU_11009,130
OTU_10859,130
OTU_1034,129
OTU_13321,126
OTU_18390,126
OTU_13446,110
OTU_10300,110
OTU_10009,110
OTU_10664,110
OTU_10965,110
OTU_10399,110
OTU_10038,110
OTU_11001,101
OTU_10353,100
OTU_1017,100
OTU_10841,100
OTU_10876,100
OTU_3628,100
OTU_10181,100
OTU_19724,90
OTU_10180,90
OTU_110195,82
OTU_10641,80
OTU_10360,80
OTU_10103,80
OTU_10034,80
OTU_17842,80
OTU_10014,80
OTU_10424,70
OTU_10827,70
OTU_24235,69
OTU_10944,68
OTU_10605,60
OTU_11572,60
OTU_1067,60
OTU_11156,60
OTU_10842,58
OTU_10043,53
OTU_1050,50
OTU_10334,50
OTU_10545,50
OTU_11032,50
OTU_418815,42
OTU_10412,40
OTU_10235,40
OTU_1831,40
OTU_19248,40
OTU_10756,40
OTU_11,40
OTU_10319,35
OTU_10221,30
OTU_10202,30
OTU_10275,30
OTU_11045,30
OTU_11301,30
OTU_13545,30
OTU_10977,30
OTU_12747,30
OTU_10004,30
OTU_10057,28
OTU_15262,27
OTU_10411,26
OTU_1031,26
OTU_10593,24
OTU_19393,24
OTU_10960,23
OTU_12433,20
OTU_10046,20
OTU_18786,20
OTU_10066,20
OTU_1045,20
OTU_18203,20
OTU_10999,20
OTU_10165,20
OTU_10341,20
OTU_12609,20
OTU_10396,20
OTU_10386,20
OTU_1378,20
OTU_12316,20
OTU_1143,20
OTU_11435,20
OTU_1033,20
OTU_10366,20
OTU_11653,20
OTU_11701,20
OTU_10114,20
OTU_10102,20
OTU_12503,20
OTU_10087,20
OTU_12102,20
OTU_114898,20
OTU_10538,20
OTU_10950,20
OTU_10511,20
OTU_10561,20
OTU_10328,20
OTU_10637,20
OTU_10665,20
OTU_107275,20
OTU_10730,20
OTU_24024,20
OTU_1079,20
OTU_1084,20
OTU_23862,20
OTU_10359,20
OTU_109085,20
OTU_109072,20
OTU_25542,19
OTU_14652,19
OTU_10342,18
OTU_1213,17
OTU_10029,17
OTU_1535,16
OTU_11227,14
OTU_10002,14
OTU_10507,14
OTU_541952,14
OTU_10329,12
OTU_1016,12
OTU_14748,11
OTU_13301,10
OTU_12736,10
OTU_13425,10
OTU_24090,10
OTU_10032,10
OTU_13055,10
OTU_13243,10
OTU_10011,10
OTU_13150,10
OTU_27861,10
OTU_13012,10
OTU_3444,10
OTU_12968,10
OTU_26668,10
OTU_12920,10
OTU_12847,10
OTU_1001,10
OTU_10055,10
OTU_27906,10
OTU_13463,10
OTU_24081,10
OTU_17532,10
OTU_15903,10
OTU_27704,10
OTU_20145,10
OTU_15187,10
OTU_14942,10
OTU_14763,10
OTU_10040,10
OTU_14483,10
OTU_14386,10
OTU_10033,10
OTU_22138,10
OTU_13838,10
OTU_19557,10
OTU_10018,10
OTU_13775,10
OTU_13710,10
OTU_17816,10
OTU_431247,10
OTU_13651,10
OTU_11601,10
OTU_12724,10
OTU_110686,10
OTU_10160,10
OTU_110190,10
OTU_11015,10
OTU_11011,10
OTU_10068,10
OTU_10175,10
OTU_10991,10
OTU_10989,10
OTU_10176,10
OTU_10959,10
OTU_10941,10
OTU_10278,10
OTU_10814,10
OTU_10284,10
OTU_10694,10
OTU_10316,10
OTU_10620,10
OTU_10562,10
OTU_10557,10
OTU_10556,10
OTU_10551,10
OTU_105160,10
OTU_105056,10
OTU_10488,10
OTU_10429,10
OTU_10400,10
OTU_10377,10
OTU_11051,10
OTU_110031,10
OTU_6697,10
OTU_12655,10
OTU_1214,10
OTU_10117,10
OTU_10118,10
OTU_11548,10
OTU_12349,10
OTU_12454,10
OTU_1012,10
OTU_11528,10
OTU_12581,10
OTU_1204,10
OTU_113386,10
OTU_11310,10
OTU_112461,10
OTU_11224,10
OTU_11201,10
OTU_10142,10
OTU_111531,10
OTU_10019,9
OTU_20461,9
OTU_13322,8
OTU_202669,8
OTU_12201,8
OTU_10188,8
OTU_12477,7
OTU_12684,7
OTU_10352,6
OTU_110550,6
OTU_12330,5
OTU_112637,5
OTU_21665,5
OTU_10259,4
OTU_203990,3
OTU_28408,3
OTU_301101,3
OTU_109,3
OTU_1096,3
OTU_10104,2
OTU_14862,2
OTU_11425,2
OTU_10982,2
OTU_10056,1
OTU_10505,1
