# OTU,value
OTU_1010,3940
OTU_1,2508
OTU_10228,1924
OTU_11724,1715
OTU_10,1700
OTU_1000,1600
OTU_10550,1400
OTU_10147,1285
OTU_10146,918
OTU_10383,835
OTU_18383,825
OTU_103,825
OTU_10016,823
OTU_101,820
OTU_10919,688
OTU_1029,619
OTU_10280,600
OTU_10260,500
OTU_10141,500
OTU_19881,450
OTU_130,440
OTU_10007,420
OTU_10246,400
OTU_11530,399
OTU_27668,391
OTU_10037,385
OTU_10399,320
OTU_30546,315
OTU_11852,300
OTU_10841,300
OTU_10736,300
OTU_1053,270
OTU_10859,260
OTU_10512,238
OTU_1423,231
OTU_10071,227
OTU_10127,220
OTU_13321,200
OTU_110195,200
OTU_10022,165
OTU_11001,165
OTU_17842,160
OTU_10641,138
OTU_13897,115
OTU_10162,112
OTU_10300,110
OTU_10181,110
OTU_10034,110
OTU_1034,104
OTU_19724,104
OTU_10456,89
OTU_3628,83
OTU_10664,79
OTU_10014,72
OTU_1067,67
OTU_11143,62
OTU_11,60
OTU_13446,59
OTU_10944,55
OTU_11602,54
OTU_10977,52
OTU_10756,48
OTU_10275,42
OTU_13545,42
OTU_12316,40
OTU_10043,40
OTU_10730,40
OTU_107275,40
OTU_10202,40
OTU_12433,40
OTU_10103,40
OTU_19248,36
OTU_10334,36
OTU_1084,36
OTU_1143,34
OTU_11980,34
OTU_10319,32
OTU_10827,30
OTU_10637,30
OTU_10221,30
OTU_10605,28
OTU_11572,26
OTU_1045,26
OTU_10950,26
OTU_10102,24
OTU_10412,24
OTU_12747,22
OTU_11548,20
OTU_1213,20
OTU_14748,20
OTU_12655,20
OTU_12847,20
OTU_431247,20
OTU_418815,20
OTU_3444,20
OTU_27906,20
OTU_27704,20
OTU_26668,20
OTU_25542,20
OTU_24090,20
OTU_23862,20
OTU_22138,20
OTU_20145,20
OTU_19557,20
OTU_1831,20
OTU_18203,20
OTU_17532,20
OTU_11301,20
OTU_14652,20
OTU_1378,20
OTU_13651,20
OTU_13463,20
OTU_13425,20
OTU_113386,20
OTU_1079,20
OTU_11227,20
OTU_10284,20
OTU_10429,20
OTU_10424,20
OTU_11224,20
OTU_10377,20
OTU_10360,20
OTU_10359,20
OTU_10332,20
OTU_10316,20
OTU_10278,20
OTU_10545,20
OTU_10180,20
OTU_10165,20
OTU_10160,20
OTU_10142,20
OTU_1012,20
OTU_10066,20
OTU_10055,20
OTU_10033,20
OTU_10511,20
OTU_10411,20
OTU_6697,20
OTU_111531,20
OTU_10551,20
OTU_11051,20
OTU_10593,20
OTU_11032,20
OTU_110190,20
OTU_11011,20
OTU_10665,20
OTU_11009,20
OTU_10999,20
OTU_10989,20
OTU_10941,20
OTU_14386,18
OTU_10694,16
OTU_10118,16
OTU_12102,16
OTU_12736,16
OTU_12035,15
OTU_10011,14
OTU_10386,14
OTU_10054,12
OTU_10366,12
OTU_10488,12
OTU_10046,12
OTU_14763,10
OTU_10176,10
OTU_1001,10
OTU_10538,10
OTU_10328,9
OTU_13775,8
OTU_18786,8
OTU_10032,8
OTU_15903,8
OTU_11435,6
OTU_24024,6
OTU_11045,6
OTU_105160,4
OTU_13710,4
OTU_1016,4
OTU_105056,2
OTU_12454,2
OTU_13301,2
