# OTU,value
OTU_1010,1970
OTU_1,1199
OTU_10228,1112
OTU_10,1000
OTU_11724,902
OTU_10550,800
OTU_1000,700
OTU_10147,670
OTU_10383,465
OTU_10016,445
OTU_18383,440
OTU_10146,429
OTU_101,410
OTU_10919,376
OTU_1029,334
OTU_103,330
OTU_10260,270
OTU_10246,240
OTU_10037,220
OTU_27668,211
OTU_10399,210
OTU_10007,210
OTU_10841,200
OTU_10280,200
OTU_19881,200
OTU_10141,200
OTU_10859,140
OTU_30546,130
OTU_11530,124
OTU_110195,120
OTU_1053,120
OTU_10512,119
OTU_130,110
OTU_11001,110
OTU_10127,110
OTU_10071,109
OTU_1423,106
OTU_11852,100
OTU_10736,100
OTU_13321,91
OTU_17842,80
OTU_10641,69
OTU_10300,55
OTU_10034,55
OTU_10181,55
OTU_10022,55
OTU_19724,52
OTU_3628,38
OTU_10162,37
OTU_10014,36
OTU_10664,31
OTU_11,30
OTU_13446,29
OTU_1034,28
OTU_1084,28
OTU_13897,27
OTU_11602,27
OTU_10977,26
OTU_11143,24
OTU_10456,24
OTU_1067,24
OTU_10756,24
OTU_10275,21
OTU_13545,21
OTU_12433,20
OTU_12316,20
OTU_107275,20
OTU_10730,20
OTU_10043,20
OTU_10202,20
OTU_1143,17
OTU_11980,17
OTU_10944,17
OTU_1045,16
OTU_10319,16
OTU_10637,15
OTU_10221,15
OTU_10605,14
OTU_10950,13
OTU_10412,12
OTU_10334,12
OTU_10102,12
OTU_12747,11
OTU_10827,11
OTU_11548,10
OTU_113386,10
OTU_11301,10
OTU_14652,10
OTU_1213,10
OTU_20145,10
OTU_431247,10
OTU_418815,10
OTU_3444,10
OTU_27906,10
OTU_27704,10
OTU_26668,10
OTU_25542,10
OTU_24090,10
OTU_23862,10
OTU_22138,10
OTU_19557,10
OTU_12655,10
OTU_1831,10
OTU_18203,10
OTU_17532,10
OTU_14748,10
OTU_11224,10
OTU_1378,10
OTU_13651,10
OTU_13463,10
OTU_13425,10
OTU_12847,10
OTU_11227,10
OTU_1079,10
OTU_111531,10
OTU_10511,10
OTU_10424,10
OTU_10411,10
OTU_11051,10
OTU_10360,10
OTU_10359,10
OTU_10332,10
OTU_10316,10
OTU_10284,10
OTU_10278,10
OTU_10180,10
OTU_10165,10
OTU_10160,10
OTU_10142,10
OTU_1012,10
OTU_10066,10
OTU_10055,10
OTU_10033,10
OTU_10429,10
OTU_10377,10
OTU_10941,10
OTU_10593,10
OTU_11032,10
OTU_110190,10
OTU_11011,10
OTU_11009,10
OTU_10999,10
OTU_10989,10
OTU_10665,10
OTU_6697,10
OTU_10551,10
OTU_10545,10
OTU_19248,9
OTU_14386,9
OTU_11572,9
OTU_12102,8
OTU_10103,8
OTU_12736,8
OTU_10694,8
OTU_10118,8
OTU_10386,7
OTU_10011,7
OTU_10488,6
OTU_10054,6
OTU_10046,6
OTU_10366,6
OTU_1001,5
OTU_10176,5
OTU_10538,5
OTU_12035,5
OTU_14763,5
OTU_18786,4
OTU_15903,4
OTU_10032,4
OTU_13710,4
OTU_13775,4
OTU_24024,3
OTU_10328,3
OTU_11435,3
OTU_11045,3
OTU_1016,2
OTU_105160,2
OTU_105056,1
OTU_13301,1
OTU_12454,1
