# OTU,value
OTU_1010,1970
OTU_1,1319
OTU_1000,900
OTU_11724,813
OTU_10228,812
OTU_10,700
OTU_10147,615
OTU_10550,600
OTU_103,495
OTU_10146,489
OTU_10016,414
OTU_101,410
OTU_10280,400
OTU_18383,385
OTU_10383,370
OTU_10919,348
OTU_130,330
OTU_10141,300
OTU_1029,285
OTU_11530,282
OTU_19881,250
OTU_10260,240
OTU_27668,210
OTU_10007,210
OTU_10736,200
OTU_11852,200
OTU_30546,185
OTU_10037,165
OTU_10246,160
OTU_1053,150
OTU_10859,130
OTU_1423,125
OTU_10512,119
OTU_10071,118
OTU_10399,110
OTU_10022,110
OTU_13321,110
OTU_10127,110
OTU_10841,100
OTU_13897,99
OTU_110195,80
OTU_17842,80
OTU_10162,79
OTU_10456,78
OTU_1034,76
OTU_10641,69
OTU_10014,66
OTU_10300,55
OTU_11001,55
OTU_10034,55
OTU_10181,55
OTU_19724,52
OTU_10664,51
OTU_11143,48
OTU_3628,45
OTU_1067,43
OTU_10944,38
OTU_19248,36
OTU_10103,32
OTU_13446,30
OTU_10202,30
OTU_11,30
OTU_11602,27
OTU_10977,26
OTU_10334,24
OTU_10756,24
OTU_10605,23
OTU_10319,22
OTU_13545,21
OTU_10275,21
OTU_23862,20
OTU_12433,20
OTU_107275,20
OTU_10730,20
OTU_12316,20
OTU_10043,20
OTU_10411,20
OTU_18203,20
OTU_10511,20
OTU_10332,20
OTU_10827,19
OTU_1084,18
OTU_11572,17
OTU_1143,17
OTU_11980,17
OTU_10637,15
OTU_10221,15
OTU_1045,13
OTU_10950,13
OTU_10412,12
OTU_10102,12
OTU_12747,11
OTU_12035,10
OTU_11548,10
OTU_12655,10
OTU_1213,10
OTU_1378,10
OTU_431247,10
OTU_19557,10
OTU_26668,10
OTU_25542,10
OTU_24090,10
OTU_27704,10
OTU_27906,10
OTU_22138,10
OTU_20145,10
OTU_3444,10
OTU_418815,10
OTU_1831,10
OTU_17532,10
OTU_14652,10
OTU_13651,10
OTU_13463,10
OTU_13425,10
OTU_12847,10
OTU_14748,10
OTU_1079,10
OTU_113386,10
OTU_10278,10
OTU_10545,10
OTU_10429,10
OTU_10377,10
OTU_10360,10
OTU_10359,10
OTU_10316,10
OTU_10284,10
OTU_10180,10
OTU_10593,10
OTU_10165,10
OTU_10160,10
OTU_10142,10
OTU_1012,10
OTU_10066,10
OTU_10055,10
OTU_10033,10
OTU_10551,10
OTU_10424,10
OTU_11009,10
OTU_10989,10
OTU_11301,10
OTU_11227,10
OTU_11224,10
OTU_111531,10
OTU_11051,10
OTU_11032,10
OTU_110190,10
OTU_11011,10
OTU_10665,10
OTU_10999,10
OTU_6697,10
OTU_10941,10
OTU_14386,9
OTU_10118,8
OTU_12736,8
OTU_10694,8
OTU_12102,8
OTU_10386,7
OTU_10011,7
OTU_10328,6
OTU_10366,6
OTU_10046,6
OTU_10054,6
OTU_10488,6
OTU_10538,5
OTU_1001,5
OTU_10176,5
OTU_14763,5
OTU_18786,4
OTU_13775,4
OTU_10032,4
OTU_15903,4
OTU_11045,3
OTU_24024,3
OTU_11435,3
OTU_105160,2
OTU_1016,2
OTU_13710,2
OTU_105056,1
OTU_12454,1
OTU_13301,1
