# OTU,value
OTU_1010,2166
OTU_10228,1065
OTU_10,935
OTU_1000,880
OTU_10550,770
OTU_11724,674
OTU_10146,485
OTU_101,446
OTU_10280,330
OTU_1,320
OTU_10919,301
OTU_10141,275
OTU_10260,268
OTU_19881,252
OTU_10016,202
OTU_10007,201
OTU_10246,190
OTU_10399,177
OTU_10859,176
OTU_11852,165
OTU_10736,165
OTU_10841,165
OTU_10147,164
OTU_110195,150
OTU_1053,144
OTU_27668,124
OTU_10071,110
OTU_10383,110
OTU_13321,99
OTU_10641,84
OTU_17842,56
OTU_10014,42
OTU_11,34
OTU_107275,32
OTU_11602,30
OTU_10664,28
OTU_10043,24
OTU_10202,22
OTU_12316,20
OTU_10941,20
OTU_10066,20
OTU_14652,20
OTU_27704,20
OTU_11011,20
OTU_6697,20
OTU_10162,20
OTU_10316,20
OTU_1012,18
OTU_13545,18
OTU_13651,18
OTU_18203,18
OTU_12847,18
OTU_10950,18
OTU_10055,18
OTU_10142,18
OTU_12433,18
OTU_1213,16
OTU_11980,16
OTU_3444,16
OTU_10944,16
OTU_17532,16
OTU_27906,16
OTU_11009,14
OTU_10033,14
OTU_10545,14
OTU_10278,14
OTU_1079,14
OTU_10977,14
OTU_10730,12
OTU_10424,12
OTU_23862,12
OTU_10665,12
OTU_111531,12
OTU_10275,12
OTU_13425,12
OTU_418815,10
OTU_10756,10
OTU_13446,10
OTU_10511,10
OTU_10160,10
OTU_24090,10
OTU_10359,10
OTU_1831,10
OTU_11032,10
OTU_10284,8
OTU_25542,8
OTU_431247,8
OTU_11548,8
OTU_10180,8
OTU_10551,8
OTU_10429,8
OTU_10332,8
OTU_11227,6
OTU_1045,6
OTU_10999,6
OTU_20145,6
OTU_10360,6
OTU_13463,6
OTU_11224,4
OTU_10989,4
OTU_10593,4
OTU_10165,4
OTU_1143,4
OTU_26668,4
OTU_10411,4
OTU_113386,4
OTU_11143,2
OTU_1378,2
OTU_11301,2
OTU_1084,2
OTU_10102,2
OTU_19557,2
OTU_110190,2
OTU_10319,2
